,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1169,Peugeot 1007,2008 (08 reg),4 owners,"83,442 miles",1.4L,75BHP,Manual,Petrol,"£1,499",N/A,Hatchback,,N/A
1170,Audi A3,2008 (08 reg),N/A,"88,000 miles",1.6L,113BHP,Manual,Petrol,"£2,975",N/A,Hatchback,Auto Zone - See all 47 cars,Dealer locationHanwell
1171,Renault Clio,2006 (06 reg),1 owner,"92,415 miles",1.4L,98BHP,Manual,Petrol,"£1,500",N/A,Hatchback,,N/A
1172,Vauxhall Astra,2011 (61 reg),3 owners,"87,000 miles",2.0L,160PS,Manual,Diesel,"£2,650",N/A,Hatchback,,N/A
1173,Lexus IS 250,2007 (07 reg),N/A,"128,199 miles",2.5L,204BHP,Manual,Petrol,"£2,222",N/A,Saloon,Bravo Motorcars Ltd - See all 36 cars,Dealer locationRickmansworth
1174,Hyundai Tucson,2016 (16 reg),2 owners,"74,000 miles",1.6L,132PS,Manual,Petrol,"£9,500",N/A,SUV,Lux Cars International Ltd - See all 15 cars,Dealer locationWatford
1175,Hyundai i10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1176,Mitsubishi Eclipse Cross,2018 (18 reg),2 owners,"89,208 miles",1.5L,161BHP,Automatic,Petrol,"£12,600",N/A,SUV,Big Motoring World Enfield - See all 742 cars,Dealer locationWaltham Cross
1177,BMW 3 Series,2008 (08 reg),N/A,"129,479 miles",2.0L,177PS,Manual,Diesel,"£2,995",N/A,Saloon,Car Choice London - See all 54 cars,Dealer locationIver
1178,Volvo S40,2009 (09 reg),4 owners,"101,000 miles",1.6L,100PS,Manual,Petrol,"£2,849",N/A,Saloon,Prestige Car Sales - See all 26 cars,Dealer locationWillesden
1179,BMW 1 Series,2010 (10 reg),2 owners,"86,000 miles",2.0L,122PS,Manual,Petrol,"£1,995",N/A,Hatchback,Auto Zone - See all 47 cars,Dealer locationHanwell
1180,Mercedes-Benz C Class,2009 (59 reg),7 owners,"96,123 miles",2.1L,170PS,Automatic,Diesel,"£3,100",N/A,Saloon,,N/A
1181,Volkswagen Passat,2006 (56 reg),N/A,"135,000 miles",2.0L,200PS,Automatic,Petrol,"£2,650",N/A,Saloon,Prime Cars - See all 23 cars,Dealer locationEdgware
1182,MINI Convertible,2010 (60 reg),Part service history,"60,000 miles",1.6L,98PS,Manual,Petrol,"£3,495",N/A,Convertible,S A CAR SALES - See all 107 cars,Dealer locationWest Molesey
1183,MINI Convertible,2008 (08 reg),Part service history,"65,000 miles",1.6L,90PS,Manual,Petrol,"£2,495",N/A,Convertible,Totteridge Motors - See all 20 cars,Dealer locationHigh Wycombe
1184,Ford Focus,2008 (58 reg),N/A,"85,000 miles",1.8L,123BHP,Manual,Petrol,"£2,094",N/A,Hatchback,Auto Zone - See all 47 cars,Dealer locationHanwell
1185,Toyota Auris,2007 (57 reg),6 owners,"115,000 miles",1.4L,97BHP,Manual,Petrol,"£1,895",N/A,Hatchback,R M Motors - See all 7 cars,Dealer locationLondon
1186,Renault Clio,2010 (60 reg),N/A,"84,100 miles",1.2L,75PS,Manual,Petrol,"£2,490",N/A,Hatchback,Kalyar Motors Limited - See all 9 cars,Dealer locationDagenham
1187,Lexus IS 250,2007 (07 reg),N/A,"128,199 miles",2.5L,204BHP,Manual,Petrol,"£2,222",N/A,Saloon,Bravo Motorcars Ltd - See all 36 cars,Dealer locationRickmansworth
1188,Vauxhall Grandland X,2020 (20 reg),1 owner,"72,914 miles",1.2L,128BHP,Manual,Petrol,"£11,300",N/A,SUV,Big Motoring World Wimbledon - See all 768 cars,Dealer locationTooting
1189,KIA Ceed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1190,Peugeot 208,2020 (20 reg),2 owners,"81,313 miles",1.2L,99BHP,Manual,Petrol,"£10,100",N/A,Hatchback,Big Motoring World Enfield - See all 742 cars,Dealer locationWaltham Cross
1191,Nissan Micra C+C,2006 (56 reg),2 owners,"39,000 miles",1.6L,109BHP,Manual,Petrol,"£1,999",N/A,Convertible,MY NEW CAR - See all 82 cars,Dealer locationHanwell
1192,Audi A4,2009 (59 reg),Part service history,"110,000 miles",3.0L,240PS,Automatic,Diesel,"£6,290",N/A,Saloon,Quality Part X Ripley - See all 147 cars,Dealer locationWoking
