,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
807,Audi A3,2010 (60 reg),N/A,"120,000 miles",2.0L,140PS,Manual,Diesel,£990,N/A,Hatchback,Harry's Car Sales - See all 333 cars,Dealer locationPeterborough
808,BMW 3 Series,2008 (58 reg),3 owners,"121,000 miles",2.0L,170PS,Manual,Petrol,"£1,699",N/A,Saloon,,N/A
809,Volvo V40,2002 (02 reg),N/A,"149,000 miles",Manual,Diesel,4 owners,N/A,£795,N/A,Estate,Reflex Autos Limited - See all 17 cars,Dealer locationShepperton
810,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 359 cars,Dealer locationPeterborough
811,Volkswagen Golf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
812,Citroen C4,2021 (21 reg),1 owner,"53,090 miles",1.2L,127BHP,Manual,Petrol,"£12,800",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 359 cars,Dealer locationPeterborough
813,Vauxhall Corsa,2006 (06 reg),N/A,"102,000 miles",1.4L,89BHP,Automatic,Petrol,"£1,990",N/A,Hatchback,space motors - See all 20 cars,Dealer locationLuton
814,Nissan Pixo,2009 (09 reg),N/A,"68,218 miles",1.0L,68PS,Manual,Petrol,"£1,595",N/A,Hatchback,Car Choice London - See all 54 cars,Dealer locationIver
815,BMW 1 Series,2010 (10 reg),N/A,"193,000 miles",2.0L,116PS,Manual,Diesel,"£1,775",N/A,Hatchback,Sort Your Car - See all 30 cars,Dealer locationWindsor
816,Mazda3,2008 (58 reg),N/A,"64,000 miles",1.6L,103BHP,Manual,Petrol,"£2,495",N/A,Hatchback,M Kay Motors - See all 8 cars,Dealer locationLeytonstone
817,Chevrolet Cruze,2011 (61 reg),N/A,"63,700 miles",1.6L,113PS,Manual,Petrol,"£2,795",N/A,Saloon,WEST LONDON CARS CENTRE LTD - See all 79 cars,Dealer locationUxbridge
818,Honda Jazz,2002 (02 reg),3 owners,"160,000 miles",1.4L,82BHP,Manual,Petrol,£890,N/A,Hatchback,Harry's Car Sales - See all 333 cars,Dealer locationPeterborough
819,Honda Accord,2006 (06 reg),2 owners,"22,641 miles",2.0L,153BHP,Manual,Petrol,"£3,790",N/A,Saloon,VERITAS CARS - See all 45 cars,Dealer locationHanwell
820,Vauxhall Corsa,2004 (54 reg),N/A,"98,000 miles",1.3L,70BHP,Manual,Diesel,£999,N/A,Hatchback,PLF Cars - See all 199 cars,Dealer locationChertsey
821,Ford Focus,2010 (10 reg),4 owners,"85,000 miles",1.6L,99BHP,Manual,Petrol,"£1,999",N/A,Hatchback,,N/A
822,Vauxhall Crossland X,2018 (68 reg),1 owner,"59,043 miles",1.2L,110PS,Automatic,Petrol,"£10,990",N/A,SUV,Jan Autos Ltd - See all 139 cars,Dealer locationLuton
823,Lexus IS 250,2007 (07 reg),N/A,"128,199 miles",2.5L,204BHP,Manual,Petrol,"£2,222",N/A,Saloon,Bravo Motorcars Ltd - See all 32 cars,Dealer locationRickmansworth
824,KIA Sportage,2018 (68 reg),1 owner,"27,206 miles",1.7L,114BHP,Manual,Diesel,"£12,999",N/A,SUV,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
825,CUPRA Formentor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
826,Vauxhall Crossland X,2018 (68 reg),2 owners,"35,085 miles",1.2L,108BHP,Automatic,Petrol,"£12,449",N/A,SUV,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
827,Honda Civic,2001 (51 reg),4 owners,"69,000 miles",1.7L,123BHP,Manual,Petrol,"£1,785",N/A,Coupe,Mayfair Motors Ltd - See all 91 cars,Dealer locationLeicester
828,Fiat Punto,2004 (04 reg),N/A,"56,500 miles",1.2L,60BHP,Manual,Petrol,"£1,450",N/A,Hatchback,Heritage Auto Factors - See all 16 cars,Dealer locationLuton
829,Vauxhall Insignia,2013 (63 reg),4 owners,"168,100 miles",2.0L,140PS,Manual,Diesel,"£1,495",N/A,Hatchback,AR Car Lot Ltd - See all 15 cars,Dealer locationBirmingham
830,MINI Hatch,2010 (60 reg),6 owners,"111,000 miles",1.6L,112PS,Manual,Diesel,"£2,490",N/A,Hatchback,A & S Motors - See all 25 cars,Dealer locationWalsall
831,Vauxhall Astra,2007 (07 reg),N/A,"100,000 miles",1.6L,115BHP,Manual,Petrol,"£1,495",N/A,Convertible,SMC Chelmsford Car & Commercial - See all 64 cars,Dealer locationChelmsford
832,Audi A3,2005 (54 reg),No service history,"150,360 miles",1.6L,101BHP,Automatic,Petrol,"£2,299",N/A,Hatchback,Shahz Cars - See all 38 cars,Dealer locationLeighton Buzzard
833,Vauxhall Astra,2012 (61 reg),N/A,"102,120 miles",2.0L,165PS,Manual,Diesel,"£2,995",N/A,Hatchback,Tenb Cars Limited - See all 29 cars,Dealer locationBedford
834,Daihatsu Sirion,2008 (08 reg),2 owners,"48,000 miles",1.0L,68BHP,Manual,Petrol,"£1,490",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
835,SKODA Favorit,1993 (K reg),3 owners,"102,000 miles",1.3L,54BHP,Manual,Petrol,"£1,995",N/A,Estate,Hexon Cars Ltd - See all 37 cars,Dealer locationAylesbury
836,BMW 3 Series,2000 (X reg),N/A,"80,000 miles",1.9L,118BHP,Manual,Petrol,"£1,389",N/A,Saloon,Car Valley - See all 101 cars,Dealer locationWembley
837,Mitsubishi Colt,2008 (58 reg),3 owners,"73,500 miles",1.5L,94BHP,Automatic,Diesel,"£1,500",N/A,Hatchback,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
