,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
243,Volkswagen Bora,2002 (51 reg),N/A,"112,153 miles",2.0L,114BHP,Manual,Petrol,"£1,295",N/A,Saloon,Chrome Motors Woodford - See all 70 cars,Dealer locationStockport
244,Vauxhall Astra Gtc,2012 (62 reg),4 owners,"80,000 miles",1.4L,120PS,Manual,Petrol,"£2,500",N/A,Coupe,Parkside Motor Store - See all 347 cars,Dealer locationBolton
245,Citroen C4,2006 (06 reg),1 owner,"99,802 miles",1.6L,110BHP,Manual,Petrol,£995,N/A,Hatchback,Burton Cheap Cars - See all 57 cars,Dealer locationBurton On Trent
246,Citroen C1,2011 (60 reg),2 owners,"86,000 miles",1.0L,68PS,Manual,Petrol,"£1,990",N/A,Hatchback,YORKSHIRE CAR SALES - See all 22 cars,Dealer locationWakefield
247,Fiat Bravo,2010 (10 reg),4 owners,"106,000 miles",1.6L,105BHP,Manual,Diesel,"£1,495",N/A,Hatchback,Select Car Sales - See all 21 cars,Dealer locationOldham
248,Vauxhall Astra,2010 (60 reg),N/A,"99,000 miles",1.6L,115PS,Manual,Petrol,"£2,499",N/A,Hatchback,Selekt Cars - See all 2 cars,Dealer locationHounslow
249,Vauxhall Corsa,2010 (10 reg),5 owners,"63,147 miles",1.4L,99BHP,Manual,Petrol,"£2,650",N/A,Hatchback,DEALZONWHEELZ LTD - See all 10 cars,Dealer locationLeeds
250,Vauxhall Mokka X,2019 (69 reg),N/A,"30,262 miles",1.4L,140PS,Manual,Petrol,"£12,200",N/A,SUV,Perrys Huddersfield - See all 99 cars,Dealer locationHuddersfield
251,KIA Proceed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
252,Nissan Juke,2020 (70 reg),N/A,"5,524 miles",1.0L,114PS,Manual,Petrol,"£16,302",N/A,SUV,Bristol Street Motors Nissan Derby - See all 31 cars,Dealer locationDerby
