,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
433,BYD Atto 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
434,Vauxhall Mokka X,2019 (19 reg),N/A,"16,856 miles",1.4L,140PS,Manual,Petrol,"£13,584",N/A,SUV,Perrys Rotherham - See all 93 cars,Dealer locationRotherham
435,Ford Focus,2004 (04 reg),4 owners,"68,000 miles",1.8L,113BHP,Manual,Diesel,"£1,250",N/A,Hatchback,Avalon Autos - See all 27 cars,Dealer locationChesterfield
436,MINI Hatch,2007 (07 reg),3 owners,"60,750 miles",1.6L,120PS,Manual,Petrol,"£2,999",N/A,Hatchback,SHEFF CARS LTD - See all 51 cars,Dealer locationSheffield
437,Ford Fiesta,2009 (58 reg),4 owners,"110,000 miles",1.25L,81BHP,Manual,Petrol,"£1,990",N/A,Hatchback,YORKSHIRE CAR SALES - See all 22 cars,Dealer locationWakefield
438,MINI Hatch,2007 (57 reg),N/A,"96,091 miles",1.4L,95PS,Manual,Petrol,"£1,395",N/A,Hatchback,The Car Nation - See all 87 cars,Dealer locationBirmingham
439,Vauxhall Corsa,2011 (11 reg),3 owners,"60,000 miles",1.2L,85PS,Manual,Petrol,"£2,995",N/A,Hatchback,Cleckheaton Motor Sales - See all 76 cars,Dealer locationCleckheaton
440,Ford Focus,2009 (59 reg),3 owners,"84,000 miles",1.6L,99BHP,Manual,Petrol,"£2,495",N/A,Hatchback,Fircroft Motors - See all 11 cars,Dealer locationSheffield
441,Peugeot 307,2006 (06 reg),4 owners,"85,000 miles",1.6L,90BHP,Manual,Diesel,"£1,750",N/A,Hatchback,JDM Trading Ltd - See all 18 cars,Dealer locationRotherham
442,SEAT Ibiza,2009 (09 reg),N/A,"140,565 miles",1.4L,85PS,Manual,Petrol,"£1,495",N/A,Hatchback,M5 Car Ltd - See all 39 cars,Dealer locationOldbury
443,Ford Fiesta,2013 (13 reg),2 owners,"109,503 miles",1.0L,80PS,Manual,Petrol,"£2,500",N/A,Hatchback,JPA Motor Company - See all 10 cars,Dealer locationHolmfirth
444,Vauxhall Corsa,2007 (57 reg),4 owners,"80,000 miles",1.0L,59BHP,Manual,Petrol,"£1,200",N/A,Hatchback,,N/A
445,Vauxhall Corsa,2010 (10 reg),5 owners,"63,147 miles",1.4L,99BHP,Manual,Petrol,"£2,650",N/A,Hatchback,DEALZONWHEELZ LTD - See all 10 cars,Dealer locationLeeds
446,Vauxhall Mokka X,2019 (19 reg),N/A,"16,856 miles",1.4L,140PS,Manual,Petrol,"£13,584",N/A,SUV,Perrys Rotherham - See all 93 cars,Dealer locationRotherham
447,Citroen C4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
448,Vauxhall Grandland X,2018 (67 reg),N/A,"38,404 miles",1.2L,130PS,Manual,Petrol,"£14,121",N/A,SUV,Bristol Street Motors Ford Crewe - See all 60 cars,Dealer locationCrewe
449,Citroen DS4,2013 (63 reg),4 owners,"114,407 miles",1.6L,114PS,Manual,Diesel,"£3,690",N/A,Hatchback,Trade Centre Sheffield - See all 9 cars,Dealer locationSheffield
450,Vauxhall Astra,2013 (62 reg),2 owners,"140,423 miles",1.7L,130PS,Manual,Diesel,£530,Cat S,Hatchback,United Cars Limited - See all 50 cars,Dealer locationLuton
451,SEAT Ibiza,2011 (11 reg),4 owners,"60,435 miles",1.4L,85PS,Manual,Petrol,"£2,499",Cat S,Hatchback,HCC - See all 64 cars,Dealer locationHalifax
452,Ford Fiesta,2015 (65 reg),3 owners,"98,500 miles",1.0L,140PS,Manual,Petrol,"£5,350",N/A,Hatchback,No. 1 CAR SALES - See all 8 cars,Dealer locationBirmingham
453,SEAT Leon,2013 (13 reg),4 owners,"124,000 miles",1.2L,105PS,Manual,Petrol,"£2,500",N/A,Hatchback,Clifton Cars - See all 12 cars,Dealer locationPeterborough
