,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1269,Nissan X-Trail,2004 (53 reg),N/A,"139,000 miles",2.5L,165BHP,Automatic,Petrol,"£1,350",N/A,SUV,RL Sales - See all 11 cars,Dealer locationHorsham
1270,BMW 3 Series,2008 (58 reg),3 owners,"121,000 miles",2.0L,170PS,Manual,Petrol,"£1,699",N/A,Saloon,,N/A
1271,Ford Fiesta,2016 (66 reg),N/A,"48,000 miles",1.25L,82PS,Manual,Petrol,"£6,500",N/A,Hatchback,New Stone Motors - See all 65 cars,Dealer locationAddlestone
1272,MG MG Zs,2021 (71 reg),N/A,"18,253 miles",1.5L,106PS,Manual,Petrol,"£14,451",N/A,SUV,Bristol Street Motors MG Beaconsfield - See all 19 cars,Dealer locationBeaconsfield
1273,KIA Ceed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1274,Vauxhall Crossland X,2018 (68 reg),2 owners,"35,085 miles",1.2L,108BHP,Automatic,Petrol,"£12,449",N/A,SUV,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
1275,Fiat 500,2010 (59 reg),5 owners,"106,000 miles",1.2L,70PS,Manual,Petrol,"£1,945",N/A,Hatchback,,N/A
1276,Nissan Qashqai,2009 (59 reg),2 owners,"90,000 miles",1.5L,105BHP,Manual,Diesel,"£3,195",N/A,Hatchback,Andrew Bridge Cars - See all 15 cars,Dealer locationBournemouth
1277,Volkswagen Polo,2004 (54 reg),N/A,"128,183 miles",1.4L,75BHP,Manual,Petrol,£999,Cat N,Hatchback,M&Q MOTORS - See all 26 cars,Dealer locationOxford
1278,MINI Hatch,2005 (05 reg),N/A,"78,000 miles",1.6L,115PS,Manual,Petrol,"£2,475",N/A,Hatchback,Sort Your Car - See all 30 cars,Dealer locationWindsor
1279,Vauxhall Corsa,2012 (62 reg),3 owners,"71,000 miles",1.0L,65PS,Manual,Petrol,"£2,390",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
1280,Citroen C1,2014 (64 reg),N/A,"109,600 miles",1.0L,68PS,Manual,Petrol,"£3,400",N/A,Hatchback,Imperial Motor Group - See all 31 cars,Dealer locationNewbury
1281,Renault Megane,2007 (07 reg),N/A,"43,000 miles",1.4L,100BHP,Manual,Petrol,"£1,990",N/A,Hatchback,MFI Motor Company Limited - See all 42 cars,Dealer locationMitcham
1282,Volkswagen Jetta,2009 (09 reg),Part service history,"111,889 miles",2.0L,138BHP,Automatic,Diesel,"£2,500",N/A,Saloon,Napier Motor Company Ltd - See all 15 cars,Dealer locationHorsham
1283,KIA Picanto,2009 (09 reg),5 owners,"69,900 miles",1.0L,60BHP,Manual,Petrol,"£1,699",N/A,Hatchback,Trade Link of Devon - See all 22 cars,Dealer locationAxminster
1284,Ford Mondeo,2013 (13 reg),2 owners,"190,045 miles",2.0L,140PS,Manual,Diesel,"£2,195",N/A,Hatchback,ACM Cars - See all 61 cars,Dealer locationFareham
1285,Mazda3,2014 (14 reg),N/A,"84,451 miles",2.0L,120PS,Manual,Petrol,"£8,000",N/A,Saloon,New Stone Motors - See all 65 cars,Dealer locationAddlestone
