,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
546,Audi Q2,2020,N/A,"18,021 miles",1.0L,116PS,Manual,Petrol,"£17,990",N/A,SUV,Belfast Audi - See all 68 cars,Dealer locationBelfast
547,Renault Clio,2013,1 owner,"11,212 miles",1.2L,75PS,Manual,Petrol,"£7,999",N/A,Hatchback,Charles Hurst Usedirect Budget Choice - See all 28 cars,Dealer locationBelfast
548,Audi TT,2006,6 owners,"85,000 miles",3.2L,250PS,Automatic,Petrol,"£8,075",N/A,Coupe,,N/A
549,MINI Clubman,2017,2 owners,"31,553 miles",2.0L,148BHP,Manual,Diesel,"£14,995",N/A,Estate,Crawford Clarke Cars - See all 62 cars,Dealer locationBelfast
550,Mercedes-Benz Vito,2015,6 owners,"78,000 miles",2.1L,163BHP,Manual,Diesel,"£19,995",N/A,Minibus,Carnet Car Sales - See all 20 cars,Dealer locationLarne
551,Mercedes-Benz C Class,2020,1 owner,"47,098 miles",2.0L,194PS,Automatic,Diesel,"£22,499",N/A,Estate,Usedirect Belfast 27 Boucher Road - See all 40 cars,Dealer locationBelfast
552,Nissan Juke,2019,2 owners,"38,065 miles",1.6L,112BHP,Manual,Petrol,"£10,990",N/A,SUV,Fusco Vehicle Sales - See all 154 cars,Dealer locationBangor
553,Nissan Qashqai,2018,2 owners,"47,580 miles",1.5L,110PS,Manual,Diesel,"£14,695",N/A,SUV,Regency Cars - See all 47 cars,Dealer locationNewtownards
554,Peugeot 2008,2019,2 owners,"32,520 miles",1.2L,82PS,Manual,Petrol,"£10,995",N/A,SUV,Regency Cars - See all 47 cars,Dealer locationNewtownards
555,Nissan Juke,2013,2 owners,"95,000 miles",1.6L,117PS,Manual,Petrol,"£4,395",N/A,SUV,Fc Motors - See all 26 cars,Dealer locationNewtownabbey
556,Renault Clio,2017,1 owner,"21,397 miles",1.2L,120BHP,Manual,Petrol,"£9,699",N/A,Hatchback,Charles Hurst Renault Newtownards - See all 30 cars,Dealer locationNewtownards
557,Toyota Auris,2009,4 owners,"74,060 miles",1.33L,100BHP,Manual,Petrol,"£2,899",N/A,Hatchback,RLW Cars - See all 3 cars,"Dealer locationBangor, County Down"
558,Audi Q2,2020,N/A,"8,900 miles",1.0L,116PS,Manual,Petrol,"£19,450",N/A,SUV,Belfast Audi - See all 68 cars,Dealer locationBelfast
559,Audi Q2,2020,N/A,"8,900 miles",1.0L,116PS,Manual,Petrol,"£19,450",N/A,SUV,Belfast Audi - See all 68 cars,Dealer locationBelfast
560,Nissan Note,2015,3 owners,"78,383 miles",1.2L,98PS,Manual,Petrol,"£5,999",N/A,Hatchback,Charles Hurst Usedirect Budget Choice - See all 28 cars,Dealer locationBelfast
561,Jeep Renegade,2015,N/A,"89,000 miles",1.6L,118BHP,Manual,Diesel,"£7,495",N/A,SUV,Burch Autos - See all 30 cars,Dealer locationNewtownards
562,Renault Kadjar,2015,2 owners,"32,499 miles",1.5L,110BHP,Manual,Diesel,"£10,495",N/A,SUV,Ballyrobert Vauxhall Bangor - See all 99 cars,Dealer locationBangor
563,Mazda CX-3,2018,N/A,"65,945 miles",2.0L,121PS,Manual,Petrol,"£10,995",N/A,SUV,Ballyrobert Mallusk - See all 99 cars,Dealer locationNewtownabbey
564,Volkswagen T-Roc,2018,N/A,"20,736 miles",1.5L,150PS,Manual,Petrol,"£21,490",N/A,SUV,Agnew Volkswagen Belfast - See all 105 cars,Dealer locationBelfast
565,Peugeot 508,2022,1 owner,"10,441 miles",1.2L,131PS,Automatic,Petrol,"£23,995",N/A,Hatchback,Regency Cars - See all 47 cars,Dealer locationNewtownards
566,Volkswagen Golf,2017,N/A,"22,121 miles",2.0L,150PS,Automatic,Diesel,"£15,495",N/A,Hatchback,Ballyrobert Mallusk - See all 99 cars,Dealer locationNewtownabbey
567,Nissan Qashqai,2014,2 owners,"57,000 miles",1.2L,115PS,Manual,Petrol,"£9,999",N/A,SUV,Charles Hurst Nissan Belfast - See all 36 cars,Dealer locationBelfast
568,Ford Kuga,2019,1 owner,"39,437 miles",1.5L,120PS,Manual,Diesel,"£14,600",N/A,SUV,Trust Ford Belfast - Mallusk - See all 106 cars,Dealer locationNewtownabbey
569,Volkswagen Touran,2015,4 owners,"189,000 miles",1.6L,105PS,Manual,Diesel,"£6,000",N/A,MPV,E Flynn Car Sales - See all 68 cars,Dealer locationBallygowan
570,Peugeot 308 CC,2014,2 owners,"39,428 miles",1.6L,115PS,Manual,Diesel,"£6,250",N/A,Convertible,Richard Dorrian Cars - See all 22 cars,Dealer locationBangor
571,Audi Q2,2020,N/A,"8,900 miles",1.0L,116PS,Manual,Petrol,"£19,450",N/A,SUV,Belfast Audi - See all 68 cars,Dealer locationBelfast
572,Audi A1,2019,N/A,"16,528 miles",1.0L,116PS,Automatic,Petrol,"£17,850",N/A,Hatchback,Belfast Audi - See all 68 cars,Dealer locationBelfast
573,Ford Focus,2020,1 owner,"28,442 miles",1.0L,125PS,Manual,Petrol,"£13,999",N/A,Hatchback,Charles Hurst Usedirect Dundonald - See all 28 cars,Dealer locationBelfast
574,Mercedes-Benz Gla Class,2015,N/A,"68,282 miles",2.1L,134BHP,Automatic,Diesel,"£13,995",N/A,SUV,Car Brothers NI - See all 45 cars,Dealer locationNewtownabbey
575,Audi A5,2013,Full service history,"100,000 miles",2.0L,177PS,Manual,Diesel,"£9,950",N/A,Hatchback,M J Motors - See all 17 cars,Dealer locationBelfast
576,Audi Q3,2015,N/A,"32,250 miles",2.0L,148BHP,Manual,Diesel,"£13,995",N/A,SUV,Car Brothers NI - See all 45 cars,Dealer locationNewtownabbey
577,Dacia Duster,2020,1 owner,"14,774 miles",1.3L,130BHP,Manual,Petrol,"£14,499",N/A,SUV,Charles Hurst Dacia Belfast - See all 10 cars,Dealer locationBelfast
578,Audi Q2,2020,2 owners,"22,500 miles",1.6L,114BHP,Automatic,Diesel,"£24,650",N/A,SUV,Fusco Vehicle Sales - See all 154 cars,Dealer locationBangor
579,Renault Kadjar,2020,1 owner,"11,335 miles",1.3L,140BHP,Manual,Petrol,"£15,899",N/A,SUV,Charles Hurst Renault Newtownards - See all 30 cars,Dealer locationNewtownards
580,MG MG Zs,2018,2 owners,"20,000 miles",1.5L,106PS,Manual,Petrol,"£12,495",N/A,SUV,Ss Logan & Son Ltd Est 1935 - See all 13 cars,Dealer locationNewtownabbey
581,BMW 3 Series,2012,N/A,"88,234 miles",2.0L,Automatic,Diesel,2 owners,"£8,495",N/A,Saloon,Auto Choice - See all 59 cars,Dealer locationNewtownards
582,Mercedes-Benz A Class,2015,2 owners,"43,957 miles",1.6L,121BHP,Manual,Petrol,"£11,995",N/A,Hatchback,Fusco Vehicle Sales - See all 154 cars,Dealer locationBangor
583,SKODA Yeti,2013,1 owner,"59,000 miles",2.0L,140PS,Manual,Diesel,"£8,995",N/A,SUV,PL Motors LTD - See all 20 cars,Dealer locationNewtownabbey
