,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1233,Peugeot Partner Tepee,2012 (12 reg),N/A,"79,000 miles",1.6L,92BHP,Automatic,Diesel,"£6,390",N/A,MPV,Prestigio Cars Ltd - See all 79 cars,N/A
1234,Mercedes-Benz CLS,2010 (59 reg),N/A,"82,000 miles",3.0L,272BHP,Automatic,Diesel,"£5,490",N/A,Saloon,Auto Globe Limited - See all 113 cars,N/A
1235,Volvo V40,2017 (66 reg),3 owners,"80,000 miles",2.0L,120PS,Manual,Diesel,"£9,796",N/A,Hatchback,The Manchester Motor Company - See all 37 cars,N/A
1236,Vauxhall Corsa,2015 (15 reg),3 owners,"49,805 miles",1.4L,90PS,Manual,Petrol,"£6,400",N/A,Hatchback,WEST LONDON MOTORS LTD - See all 50 cars,N/A
1237,Nissan Qashqai,2015 (15 reg),4 owners,"62,000 miles",1.2L,115PS,Manual,Petrol,"£9,000",N/A,SUV,Lux Cars International Ltd - See all 15 cars,N/A
1238,Ford Fiesta,2018 (18 reg),N/A,"68,767 miles",1.0L,138BHP,Manual,Petrol,"£9,495",N/A,Hatchback,Parkland Motors - See all 80 cars,N/A
1239,SKODA Rapid Spaceback,2014 (14 reg),3 owners,"90,000 miles",1.2L,105PS,Manual,Petrol,"£5,475",N/A,Hatchback,Joseph Sutton Motor Company Limited - See all 31 cars,N/A
1240,KIA Stinger,2019 (69 reg),Full service history,"24,362 miles",3.3L,370PS,Automatic,Petrol,"£28,995",N/A,Hatchback,Brayley Kia Oxford - See all 23 cars,Dealer locationOxford
1241,Ford Fiesta,2015 (15 reg),4 owners,"68,447 miles",1.0L,140PS,Manual,Petrol,"£6,975",N/A,Hatchback,Junction 17 Cars Peterborough - See all 245 cars,N/A
1242,Volkswagen Polo,2013 (63 reg),2 owners,"86,000 miles",1.2L,60PS,Manual,Petrol,"£6,495",N/A,Hatchback,Harrisons Car Sales - See all 18 cars,Dealer locationThame
1243,Peugeot 208,2014 (64 reg),3 owners,"92,138 miles",1.2L,82PS,Manual,Petrol,"£4,300",N/A,Hatchback,M&R Motors - See all 49 cars,Dealer locationWallingford
1244,Vauxhall Corsa,2021 (21 reg),2 owners,"15,467 miles",1.2L,100PS,Manual,Petrol,"£14,059",N/A,Hatchback,Carsa Bradford - See all 99 cars,N/A
1245,Renault Clio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1246,Vauxhall Adam,2015 (65 reg),N/A,"73,920 miles",1.4L,87PS,Manual,Petrol,"£5,480",N/A,Hatchback,Carsa Durham - See all 99 cars,N/A
1247,KIA Proceed,2016 (65 reg),2 owners,"62,872 miles",1.6L,136PS,Manual,Diesel,"£8,850",N/A,Hatchback,Hendy Car Store Dorset - See all 132 cars,N/A
1248,Suzuki Ignis,2003 (03 reg),N/A,"50,000 miles",1.3L,82BHP,Manual,Petrol,"£2,390",N/A,Hatchback,Prestigio Cars Ltd - See all 79 cars,N/A
1249,Ford Fiesta,2014 (63 reg),4 owners,"69,123 miles",1.2L,82PS,Manual,Petrol,"£6,072",N/A,Hatchback,Carbase.co.uk - See all 565 cars,N/A
1250,Volkswagen Golf,2013 (13 reg),3 owners,"81,829 miles",1.6L,105PS,Manual,Diesel,"£6,500",N/A,Hatchback,,N/A
1251,Vauxhall Adam,2013 (13 reg),3 owners,"71,823 miles",1.4L,87PS,Manual,Petrol,"£5,187",N/A,Hatchback,Carbase.co.uk - See all 565 cars,N/A
1252,Ford Focus,2011 (11 reg),N/A,"53,247 miles",1.6L,Manual,Petrol,Full service history,"£4,575",N/A,Hatchback,Motorlux Ford - See all 26 cars,Dealer locationWantage
1253,BMW 3 Series,2009 (09 reg),Full service history,"85,000 miles",3.0L,272PS,Automatic,Petrol,"£8,495",N/A,Coupe,Blenheim Cars - See all 47 cars,Dealer locationWitney
1254,Vauxhall Astra,2019 (69 reg),2 owners,"27,416 miles",1.6L,136PS,Manual,Diesel,"£11,729",N/A,Hatchback,Wheelers Chipping Norton - See all 80 cars,Dealer locationChipping Norton
1255,BMW 1 Series,2016 (66 reg),4 owners,"58,000 miles",3.0L,340PS,Manual,Petrol,"£17,000",N/A,Hatchback,,N/A
1256,Audi A5,2013 (63 reg),N/A,"64,415 miles",2.0L,174BHP,Automatic,Diesel,"£9,500",N/A,Coupe,JMC Sutton - See all 33 cars,N/A
1257,Hyundai i30,2013 (13 reg),2 owners,"85,359 miles",1.4L,98PS,Manual,Petrol,"£5,400",N/A,Hatchback,M&R Motors - See all 49 cars,Dealer locationWallingford
1258,Nissan Qashqai,2018 (68 reg),1 owner,"40,906 miles",1.5L,110PS,Manual,Diesel,"£14,890",N/A,SUV,Carsa Bradford - See all 99 cars,N/A
1259,Volkswagen T-Roc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1260,Mercedes-Benz A Class,2019 (69 reg),1 owner,"91,439 miles",1.5L,116PS,Automatic,Diesel,"£15,850",N/A,Saloon,Carsa - See all 193 cars,N/A
1261,Volkswagen Scirocco,2014 (64 reg),2 owners,"60,125 miles",1.4L,125PS,Manual,Petrol,"£9,990",N/A,Hatchback,Autopoint York - See all 33 cars,N/A
1262,Ford Transit Custom,2016 (16 reg),2 owners,"96,000 miles",2.2L,153BHP,Manual,Diesel,"£17,995",N/A,Combi Van,CARNATICS MOTOR COMPANY LIMITED - See all 16 cars,Dealer locationAylesbury
1263,Vauxhall Adam,2016 (65 reg),2 owners,"42,650 miles",1.2L,70PS,Manual,Petrol,"£6,990",N/A,Hatchback,E & E Car Sales Ltd - See all 58 cars,N/A
1264,Jaguar XF,2011 (11 reg),2 owners,"83,000 miles",3.0L,275PS,Automatic,Diesel,"£7,950",N/A,Saloon,Continental Cars - See all 11 cars,Dealer locationReading
1265,Ford Focus,2017 (17 reg),2 owners,"97,000 miles",1.0L,125PS,Manual,Petrol,"£7,499",N/A,Hatchback,A.A AUTOMOTIVE - See all 65 cars,N/A
1266,Hyundai i40,2015 (65 reg),N/A,"96,900 miles",1.7L,115PS,Manual,Diesel,"£6,895",N/A,Estate,Spirit Trade Nation - See all 12 cars,N/A
1267,DS Automobiles DS 3,2016 (16 reg),5 owners,"48,000 miles",1.2L,130PS,Manual,Petrol,"£7,841",N/A,Hatchback,The Manchester Motor Company - See all 37 cars,N/A
1268,BMW 1 Series,2011 (11 reg),3 owners,"56,443 miles",2.0L,143PS,Manual,Diesel,"£6,507",N/A,Coupe,Carbase.co.uk - See all 565 cars,N/A
1269,BMW X1,2012 (62 reg),4 owners,"105,022 miles",2.0L,184PS,Automatic,Diesel,"£7,489",N/A,SUV,Aylesbury Motors - See all 25 cars,Dealer locationAylesbury
1270,Jaguar XF,2015 (65 reg),N/A,"62,118 miles",2.0L,177BHP,Automatic,Diesel,"£13,250",N/A,Saloon,Ponko - See all 235 cars,N/A
1271,MINI Hatch,2012 (62 reg),N/A,"74,286 miles",1.6L,90PS,Manual,Diesel,"£4,650",N/A,Hatchback,DANOS AUTOMOTIVE LTD - See all 11 cars,Dealer locationAbingdon
1272,Mercedes-Benz A Class,2019 (69 reg),1 owner,"91,439 miles",1.5L,116PS,Automatic,Diesel,"£15,850",N/A,Saloon,Carsa - See all 193 cars,N/A
1273,SEAT Ibiza,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1274,Vauxhall Crossland X,2018 (18 reg),3 owners,"33,512 miles",1.6L,99PS,Manual,Diesel,"£10,950",N/A,SUV,Eden Vauxhall Oxford - See all 58 cars,Dealer locationOxford
1275,KIA Picanto,2011 (61 reg),1 owner,"20,346 miles",1.0L,68BHP,Manual,Petrol,"£5,495",N/A,Hatchback,Advantage Vehicles - See all 65 cars,N/A
1276,Vauxhall Corsa,2012 (61 reg),2 owners,"65,814 miles",1.6L,192PS,Manual,Petrol,"£5,350",N/A,Hatchback,,N/A
1277,Jaguar XJ,2008 (08 reg),N/A,"66,000 miles",4.2L,300BHP,Automatic,Petrol,"£13,995",N/A,Saloon,Platinum Autos - See all 35 cars,Dealer locationPrinces Risborough
1278,Nissan Qashqai,2015 (15 reg),3 owners,"100,000 miles",1.5L,110PS,Manual,Diesel,"£7,690",N/A,SUV,The Manchester Motor Company - See all 37 cars,N/A
1279,MINI Convertible,2010 (10 reg),5 owners,"68,080 miles",1.6L,122PS,Automatic,Petrol,"£6,250",N/A,Convertible,,N/A
1280,Fiat 500,2012 (12 reg),2 owners,"83,000 miles",1.2L,70PS,Manual,Petrol,"£4,250",N/A,Hatchback,Joseph Sutton Motor Company Limited - See all 31 cars,N/A
1281,MINI Hatch,2018 (68 reg),2 owners,"44,960 miles",1.5L,136BHP,Manual,Petrol,"£11,599",N/A,Hatchback,Affordable Cars Prestige Car Supermarket - See all 167 cars,N/A
1282,Vauxhall Corsa,2016 (16 reg),2 owners,"29,786 miles",1.4L,90PS,Manual,Petrol,"£8,550",N/A,Hatchback,Car Planet - See all 371 cars,N/A
1283,BMW X3,2013 (13 reg),3 owners,"96,000 miles",2.0L,143PS,Manual,Diesel,"£5,799",Cat N,SUV,,N/A
1284,Mercedes-Benz A Class,2019 (69 reg),1 owner,"91,439 miles",1.5L,116PS,Automatic,Diesel,"£15,850",N/A,Saloon,Carsa - See all 193 cars,N/A
1285,MINI Hatch,2012 (62 reg),N/A,"74,286 miles",1.6L,90PS,Manual,Diesel,"£4,650",N/A,Hatchback,DANOS AUTOMOTIVE LTD - See all 11 cars,Dealer locationAbingdon
1286,Vauxhall Corsa,2021 (21 reg),2 owners,"15,467 miles",1.2L,100PS,Manual,Petrol,"£14,059",N/A,Hatchback,Carsa Bradford - See all 99 cars,N/A
1287,SEAT Ateca,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1288,KIA Stonic,2018 (18 reg),2 owners,"43,671 miles",1.4L,99PS,Manual,Petrol,"£11,243",N/A,SUV,Carsa - See all 193 cars,N/A
1289,Peugeot 3008,2014 (14 reg),Part service history,"72,000 miles",1.6L,115PS,Automatic,Diesel,"£7,299",N/A,SUV,A.A AUTOMOTIVE - See all 65 cars,N/A
1290,Renault Megane,2011 (61 reg),N/A,"61,000 miles",1.9L,130PS,Manual,Diesel,"£4,490",N/A,Convertible,Prestigio Cars Ltd - See all 79 cars,N/A
1291,Toyota Aygo,2019 (19 reg),1 owner,"23,419 miles",1.0L,71PS,Manual,Petrol,"£10,555",N/A,Hatchback,Steven Eagell Toyota Oxford - See all 126 cars,Dealer locationKidlington
1292,Peugeot 2008,2021 (21 reg),2 owners,"20,106 miles",1.2L,131PS,Automatic,Petrol,"£19,390",N/A,SUV,Bristol Street Motors Peugeot Oxford - See all 34 cars,Dealer locationOxford
1293,Mazda MX-5,2017 (17 reg),N/A,"76,844 miles",2.0L,160PS,Manual,Petrol,"£11,950",N/A,Convertible,Lodge Garage Mazda - See all 44 cars,Dealer locationAylesbury
1294,Fiat 500,2015 (15 reg),2 owners,"52,000 miles",1.2L,70PS,Manual,Petrol,"£5,890",N/A,Hatchback,Joseph Sutton Motor Company Limited - See all 31 cars,N/A
