,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
1199,Honda Fr-V,2007 (07 reg),3 owners,"105,000 miles",1.8L,138BHP,Automatic,Petrol,"£2,989",N/A,MPV,Fame Cars Ltd - See all 150 cars,Dealer locationBirmingham
1200,Peugeot 308,2014 (14 reg),5 owners,"68,000 miles",1.6L,125PS,Manual,Petrol,"£5,902",N/A,Hatchback,Joseph Sutton Motor Company Limited - See all 29 cars,Dealer locationTunbridge Wells
1201,Hyundai Amica,2008 (08 reg),N/A,"94,800 miles",1.1L,62BHP,Manual,Petrol,"£1,350",N/A,Hatchback,CAR MART (SW) LTD - See all 81 cars,Dealer locationBristol
1202,Renault Clio,2020 (20 reg),N/A,"36,500 miles",1.0L,100BHP,Manual,Petrol,"£13,995",N/A,Hatchback,Hawkins Motors St Austell - See all 26 cars,Dealer locationSt. Austell
1203,Nissan Juke,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
1204,Volkswagen Golf Sv,2019 (19 reg),3 owners,"42,007 miles",1.5L,130PS,Manual,Petrol,"£13,150",N/A,MPV,FRF Lexus Cardiff - See all 58 cars,Dealer locationCardiff
1205,SEAT Ibiza,2008 (08 reg),3 owners,"96,475 miles",1.9L,99BHP,Manual,Diesel,"£2,490",N/A,Hatchback,Cheadle Car Sales - See all 52 cars,Dealer locationCheadle
1206,Mitsubishi L200,2006 (56 reg),N/A,"176,000 miles",2.5L,163BHP,Manual,Diesel,"£4,395",N/A,Pickup,Ivybridge Trade Centre - See all 121 cars,Dealer locationIvybridge
1207,SEAT Ibiza,2014 (14 reg),3 owners,"69,393 miles",1.4L,140PS,Manual,Petrol,"£3,495",Cat S,Hatchback,,N/A
1208,Citroen DS3,2015 (64 reg),N/A,"61,200 miles",1.2L,109BHP,Manual,Petrol,"£5,490",N/A,Hatchback,Automatic Motors Ltd - See all 92 cars,Dealer locationWest Drayton
1209,Audi A3,2008 (58 reg),2 owners,"191,000 miles",1.9L,105PS,Manual,Diesel,"£1,495",Cat D,Hatchback,iCars Automotive - See all 34 cars,Dealer locationBristol
1210,Ford Focus,2012 (62 reg),2 owners,"49,000 miles",1.6L,112BHP,Manual,Diesel,"£6,350",N/A,Hatchback,Tavistock Motor Company - See all 42 cars,Dealer locationTavistock
1211,Ford Focus,2010 (10 reg),Part service history,"111,741 miles",1.8L,123BHP,Manual,Petrol,"£1,795",N/A,Hatchback,First Choice Car Sales - See all 22 cars,Dealer locationLiverpool
1212,Hyundai Ioniq,2020 (69 reg),1 owner,"41,999 miles",1.6L,141PS,Automatic,Petrol Hybrid,"£14,490",N/A,Hatchback,Trade Link of Devon - See all 22 cars,Dealer locationAxminster
1213,BMW 1 Series,2012 (62 reg),N/A,"69,700 miles",1.6L,134BHP,Manual,Petrol,"£6,390",N/A,Hatchback,Automatic Motors Ltd - See all 92 cars,Dealer locationWest Drayton
1214,Citroen DS3,2012 (62 reg),3 owners,"14,000 miles",1.6L,92PS,Manual,Diesel,"£2,990",N/A,Hatchback,Mayfair Autos Ltd - See all 45 cars,Dealer locationWindsor
