,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
935,Volvo V40,2002 (02 reg),N/A,"149,000 miles",Manual,Diesel,4 owners,N/A,£795,N/A,Estate,Reflex Autos Limited - See all 17 cars,Dealer locationShepperton
936,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 358 cars,Dealer locationPeterborough
937,Volkswagen Golf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
938,Nissan Juke,2017 (17 reg),Full service history,"31,077 miles",1.2L,115BHP,Manual,Petrol,"£11,790",N/A,SUV,Dace Specialist Car Centre - Trading Standards Approved - See all 137 cars,Dealer locationStockport
939,Suzuki Swift,2013 (13 reg),N/A,"107,865 miles",1.3L,75PS,Manual,Diesel,"£2,495",N/A,Hatchback,J.A Motors Ltd - See all 42 cars,Dealer locationKeighley
940,Ford Fiesta,2009 (09 reg),N/A,"85,000 miles",1.6L,118BHP,Manual,Petrol,"£2,999",N/A,Hatchback,TEESSIDE MOTORS NE LTD - See all 9 cars,Dealer locationStockton On Tees
941,Ford S-Max,2008 (57 reg),5 owners,"116,000 miles",2.0L,138BHP,Manual,Diesel,"£1,950",N/A,MPV,Omar Cars - See all 6 cars,Dealer locationCastleford
942,Volkswagen CC,2013 (13 reg),2 owners,"74,410 miles",2.0L,140PS,Manual,Diesel,"£5,495",N/A,Saloon,One Stop Motors Dewsbury - See all 59 cars,Dealer locationHeckmondwike
943,Nissan Note,2013 (13 reg),N/A,"113,000 miles",1.4L,88PS,Manual,Petrol,"£2,499",N/A,Hatchback,M K Carsales - See all 64 cars,Dealer locationWakefield
944,Vauxhall Corsa,2013 (13 reg),7 owners,"108,492 miles",1.2L,85PS,Manual,Petrol,"£2,495",N/A,Hatchback,HNLMotors Ltd - See all 11 cars,Dealer locationOssett
945,Vauxhall Meriva,2010 (60 reg),N/A,"102,500 miles",1.7L,130PS,Manual,Diesel,"£1,995",N/A,MPV,Crown Cars - See all 83 cars,Dealer locationPontefract
946,SKODA Fabia,2008 (08 reg),N/A,"80,000 miles",1.9L,105BHP,Manual,Diesel,"£2,395",N/A,Hatchback,M & H Autos Doncaster - See all 9 cars,Dealer locationDoncaster
947,Vauxhall Corsa,2015 (65 reg),3 owners,"88,000 miles",1.4L,90PS,Manual,Petrol,"£3,499",Cat S,Hatchback,Freeway Motoring,Dealer locationBirmingham
948,Audi A3,2009 (09 reg),6 owners,"121,481 miles",1.9L,104BHP,Manual,Diesel,"£2,500",N/A,Hatchback,Trade Cars Burnley - See all 19 cars,Dealer locationBurnley
949,Ford Mondeo,2016 (16 reg),2 owners,"107,620 miles",2.0L,150PS,Manual,Diesel,"£6,995",N/A,Hatchback,QAF Carsales Leeds Ltd - See all 5 cars,Dealer locationLeeds
950,Nissan Juke,2017 (17 reg),Full service history,"31,077 miles",1.2L,115BHP,Manual,Petrol,"£11,790",N/A,SUV,Dace Specialist Car Centre - Trading Standards Approved - See all 137 cars,Dealer locationStockport
951,Peugeot 3008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
952,Vauxhall Grandland X,2018 (67 reg),N/A,"38,404 miles",1.2L,130PS,Manual,Petrol,"£14,121",N/A,SUV,Bristol Street Motors Ford Crewe - See all 60 cars,Dealer locationCrewe
953,Nissan Qashqai,2011 (61 reg),N/A,"86,000 miles",1.5L,110PS,Manual,Diesel,"£3,295",N/A,SUV,KS Car Sales - See all 39 cars,Dealer locationWakefield
954,MINI Hatch,2007 (57 reg),7 owners,"67,000 miles",1.4L,95PS,Manual,Petrol,"£2,000",N/A,Hatchback,,N/A
955,Audi A3,2007 (56 reg),6 owners,"111,456 miles",1.6L,100BHP,Automatic,Petrol,"£1,795",N/A,Hatchback,A Car Sales - See all 12 cars,Dealer locationBirmingham
956,Citroen C3 Picasso,2009 (59 reg),N/A,"118,000 miles",1.6L,90PS,Manual,Diesel,"£1,795",N/A,MPV,Cawley Motors - See all 35 cars,Dealer locationBradford
957,Vauxhall Astra,2012 (12 reg),N/A,"72,500 miles",1.4L,100PS,Manual,Petrol,"£3,599",N/A,Hatchback,Ultimate Drive - See all 37 cars,Dealer locationDewsbury
958,Peugeot 308,2012 (61 reg),3 owners,"60,000 miles",1.6L,92PS,Manual,Diesel,"£2,995",N/A,Hatchback,Cleckheaton Motor Sales - See all 76 cars,Dealer locationCleckheaton
