,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
4,Suzuki Swift,2007,4,67200.0,1.5L,101.0,Manual,Petrol,1295.0,GC,Hatchback,Charles Hurst Usedirect Budget Choice,Belfast,07,Suzuki
5,Vauxhall Astra,2009,4,78518.0,1.6L,113.0,Manual,Petrol,2490.0,GC,Hatchback,M J Motors,Belfast,59,Vauxhall
8,Nissan Qashqai,2013,2,133000.0,1.5L,110.0,Manual,Diesel,1995.0,Cat D,SUV,Fc Motors,Newtownabbey,63,Nissan
14,Ford Fiesta,2008,5,100557.0,1.4L,67.0,Manual,Diesel,2799.0,GC,Hatchback,RLW Cars,"Bangor, County Down",,Ford
15,MINI Hatch,2011,6,105000.0,2.0L,141.0,Manual,Diesel,4395.0,GC,Hatchback,P H Cars,Holywood,,MINI
16,Audi A5,2017,2,68352.0,2.0L,188.0,Manual,Diesel,15795.0,GC,Hatchback,Car Brothers NI,Newtownabbey,,Audi
17,Toyota Auris,2009,4,74060.0,1.33L,100.0,Manual,Petrol,2899.0,GC,Hatchback,RLW Cars,"Bangor, County Down",,Toyota
18,Mercedes-Benz C Class,2015,2,153000.0,1.6L,134.0,Manual,Diesel,6995.0,GC,Saloon,F J Cars,Belfast,,Mercedes-Benz
19,Volkswagen Golf,2016,9,76000.0,1.6L,108.0,Manual,Diesel,7000.0,Cat S,Hatchback,E Flynn Car Sales,Ballygowan,,Volkswagen
20,KIA Ceed,2010,3,86000.0,1.6L,113.0,Manual,Diesel,2995.0,GC,Hatchback,Fc Motors,Newtownabbey,,KIA
21,Audi A6 Saloon,2016,1,61300.0,2.0L,187.0,Manual,Diesel,12999.0,GC,Saloon,Charles Hurst Usedirect Newtownards,Newtownards,,Audi
22,Audi A4,2012,3,80000.0,2.0L,141.0,Manual,Diesel,8995.0,GC,Saloon,DB Automotive,Newtownabbey,,Audi
23,Vauxhall Adam,2013,3,50090.0,1.4L,99.0,Manual,Petrol,6625.0,GC,Hatchback,Auto Choice,Newtownards,,Vauxhall
24,Suzuki Swift,2010,4,47000.0,1.5L,101.0,Manual,Petrol,3495.0,GC,Hatchback,Richard Dorrian Cars,Bangor,,Suzuki
28,SKODA Yeti,2013,1,59000.0,2.0L,138.0,Manual,Diesel,8995.0,GC,SUV,PL Motors LTD,Newtownabbey,,SKODA
32,Vauxhall Corsa,2014,3,81507.0,1.2L,84.0,Manual,Petrol,3499.0,GC,Hatchback,RLW Cars,"Bangor, County Down",,Vauxhall
33,Vauxhall Corsa,2009,1,21000.0,1.2L,79.0,Manual,Petrol,3695.0,GC,Hatchback,Fc Motors,Newtownabbey,,Vauxhall
35,Volkswagen Polo,2011,3,46281.0,1.2L,59.0,Manual,Petrol,6850.0,GC,Hatchback,HMK Car Sales Ltd,Newtownabbey,,Volkswagen
36,Mazda MX-5,1995,1,104000.0,1.8L,130.0,Manual,Petrol,3600.0,GC,Convertible,,,,Mazda
40,Vauxhall Corsa,2014,3,87000.0,1.2L,84.0,Manual,Petrol,4850.0,GC,Hatchback,DYNAMIC VEHICLES NI LTD,Ballyclare,,Vauxhall
42,Nissan Qashqai,2016,1,64500.0,1.2L,113.0,Manual,Petrol,9499.0,GC,SUV,Charles Hurst Usedirect Newtownards,Newtownards,,Nissan
45,Volvo V50,2011,3,69000.0,2.0L,148.0,Manual,Diesel,5695.0,GC,Estate,Fc Motors,Newtownabbey,,Volvo
46,MINI Hatch,2010,2,55038.0,1.6L,97.0,Manual,Petrol,4850.0,GC,Hatchback,Auto Choice,Newtownards,,MINI
48,Fiat 500,2013,3,46135.0,1.2L,69.0,Manual,Petrol,6115.0,GC,Hatchback,Auto Choice,Newtownards,,Fiat
53,Audi A3,2013,4,91403.0,1.4L,120.0,Manual,Petrol,9425.0,GC,Hatchback,Auto Choice,Newtownards,,Audi
54,Honda Civic,2014,4,61894.0,1.8L,140.0,Manual,Petrol,7655.0,GC,Hatchback,Auto Choice,Newtownards,,Honda
56,Vauxhall Corsa,2016,3,40500.0,1.4L,99.0,Manual,Petrol,7499.0,GC,Hatchback,Charles Hurst Usedirect Newtownards,Newtownards,,Vauxhall
57,BMW 7 Series,2009,4,89662.0,3.0L,322.0,Automatic,Petrol,6650.0,GC,Saloon,Comber Commercial Centre,Newtownards,,BMW
59,Peugeot 3008,2014,2,60000.0,2.0L,148.0,Manual,Diesel,6499.0,GC,SUV,Charles Hurst Usedirect Newtownabbey,Newtownabbey,,Peugeot
60,Ford Fiesta,2019,1,52709.0,1.1L,84.0,Manual,Petrol,8400.0,GC,Hatchback,Trust Ford Belfast,Newtownabbey,,Ford
61,Renault Clio,2020,1,60183.0,1.0L,100.0,Manual,Petrol,9999.0,GC,Hatchback,Charles Hurst Renault Newtownards,Newtownards,,Renault
62,Peugeot 308 CC,2014,2,39428.0,1.6L,113.0,Manual,Diesel,6250.0,GC,Convertible,Richard Dorrian Cars,Bangor,,Peugeot
69,Hyundai ix35,2010,3,102000.0,2.0L,161.0,Manual,Petrol,3995.0,GC,SUV,Fc Motors,Newtownabbey,,Hyundai
70,KIA Sportage,2017,1,52737.0,1.6L,130.0,Manual,Petrol,10999.0,GC,SUV,Usedirect Belfast 27 Boucher Road,Belfast,,KIA
74,Renault Megane,2016,2,54000.0,1.6L,130.0,Manual,Diesel,10199.0,GC,Hatchback,Charles Hurst Renault Newtownards,Newtownards,,Renault
75,Citroen C1,2012,4,60671.0,1.0L,67.0,Manual,Petrol,4135.0,GC,Hatchback,Auto Choice,Newtownards,,Citroen
79,Ford S-Max,2010,3,58312.0,2.0L,161.0,Manual,Diesel,7995.0,GC,MPV,Auto Choice,Newtownards,,Ford
80,Audi A4,2006,1,170000.0,2.0L,138.0,Manual,Diesel,2000.0,GC,Saloon,E Flynn Car Sales,Ballygowan,,Audi
81,SKODA Octavia,2016,2,59410.0,1.2L,108.0,Manual,Petrol,8185.0,GC,Hatchback,Auto Choice,Newtownards,,SKODA
82,SKODA Superb,2012,6,300000.0,1.6L,104.0,Manual,Diesel,2499.0,GC,Hatchback,E Flynn Car Sales,Ballygowan,,SKODA
83,Ford Grand C-Max,2015,3,67209.0,1.0L,123.0,Manual,Petrol,7880.0,GC,MPV,Auto Choice,Newtownards,,Ford
84,Vauxhall Corsa,2019,2,91000.0,1.4L,74.0,Manual,Petrol,5950.0,GC,Hatchback,M Gallagher Motors,Newtownabbey,,Vauxhall
85,Toyota Avensis,2015,3,81500.0,1.6L,112.0,Manual,Diesel,7495.0,GC,Saloon,Mallusk Auto Centre Ltd,Newtownabbey,,Toyota
86,Vauxhall Mokka,2015,2,56482.0,1.7L,128.0,Manual,Diesel,7995.0,GC,SUV,Auto Choice,Newtownards,,Vauxhall
87,MINI Hatch,2014,3,74507.0,1.6L,120.0,Manual,Petrol,7450.0,GC,Hatchback,HMK Car Sales Ltd,Newtownabbey,,MINI
92,Renault Grand Scenic,2011,5,95000.0,1.5L,108.0,Manual,Diesel,3000.0,GC,MPV,E Flynn Car Sales,Ballygowan,,Renault
94,Audi A3,2018,1,42013.0,1.0L,114.0,Manual,Petrol,12999.0,GC,Hatchback,Charles Hurst Premium Direct,Belfast,,Audi
95,Vauxhall Crossland X,2019,1,9300.0,1.2L,82.0,Manual,Petrol,10499.0,GC,SUV,Charles Hurst Usedirect Newtownards,Newtownards,,Vauxhall
96,Mercedes-Benz C Class,2011,5,69524.0,2.1L,134.0,Automatic,Diesel,6995.0,GC,Saloon,Comber Commercial Centre,Newtownards,,Mercedes-Benz
97,Peugeot 308,2016,3,65000.0,2.0L,148.0,Manual,Diesel,9995.0,GC,Hatchback,JMM CAR SALES,"Bangor, County Down",,Peugeot
98,Renault Clio,2020,1,32916.0,1.0L,100.0,Manual,Petrol,11499.0,GC,Hatchback,Charles Hurst Renault Newtownards,Newtownards,,Renault
99,Audi A5,2017,2,59000.0,2.0L,148.0,Manual,Diesel,16595.0,GC,Hatchback,PL Motors LTD,Newtownabbey,,Audi
100,Renault Clio,2017,1,78230.0,0.9L,89.0,Manual,Petrol,6990.0,GC,Hatchback,Fusco Vehicle Sales,Bangor,,Renault
105,Hyundai i20,2013,2,32808.0,1.2L,85.0,Manual,Petrol,6555.0,GC,Hatchback,Auto Choice,Newtownards,,Hyundai
106,Nissan Micra,2021,1,11815.0,1.0L,99.0,Manual,Petrol,11499.0,GC,Hatchback,Charles Hurst Nissan Newtownards,Newtownards,,Nissan
111,BMW 3 Series Gran Turismo,2013,2,65281.0,2.0L,181.0,Automatic,Petrol,11795.0,GC,Hatchback,Car Brothers NI,Newtownabbey,,BMW
113,Hyundai i10,2015,1,54000.0,1.0L,65.0,Manual,Petrol,5450.0,GC,Hatchback,Richard Dorrian Cars,Bangor,,Hyundai
114,Ford Focus,2012,2,109339.0,1.6L,113.0,Manual,Diesel,2850.0,GC,Hatchback,,,,Ford
119,Toyota Urbancruiser,2011,5,88779.0,1.4L,89.0,Manual,Diesel,4290.0,GC,SUV,Auto Choice,Newtownards,,Toyota
120,Mitsubishi ASX,2011,5,130000.0,1.8L,145.0,Manual,Diesel,2950.0,GC,SUV,,,,Mitsubishi
121,BMW 4 Series,2016,2,72106.0,2.0L,187.0,Automatic,Diesel,14795.0,GC,Coupe,Car Brothers NI,Newtownabbey,,BMW
124,Vauxhall Mokka,2016,1,46732.0,1.6L,113.0,Manual,Petrol,8095.0,GC,SUV,Ballyrobert Vauxhall Bangor,Bangor,,Vauxhall
125,Mazda3,2016,2,49965.0,2.0L,119.0,Manual,Petrol,9795.0,GC,Hatchback,Regency Cars,Newtownards,,Mazda3
126,Peugeot 107,2014,3,43000.0,1.0L,67.0,Manual,Petrol,3995.0,GC,Hatchback,Fc Motors,Newtownabbey,,Peugeot
127,Vauxhall Adam,2017,1,16800.0,1.4L,148.0,Manual,Petrol,10495.0,GC,Hatchback,Ballyrobert Vauxhall Bangor,Bangor,,Vauxhall
133,KIA Optima,2019,1,40788.0,1.6L,134.0,Automatic,Diesel,14999.0,GC,Saloon,Charles Hurst Kia Newtownabbey,Newtownabbey,,KIA
134,Ford Focus Cc,2009,7,85000.0,2.0L,143.0,Manual,Petrol,2200.0,GC,Convertible,E Flynn Car Sales,Ballygowan,,Ford
136,Dacia Duster,2018,1,37364.0,1.5L,110.0,Manual,Diesel,10299.0,GC,SUV,Usedirect Belfast 27 Boucher Road,Belfast,,Dacia
137,Fiat Punto,2014,2,58456.0,1.4L,77.0,Manual,Petrol,5499.0,GC,Hatchback,Charles Hurst Usedirect Budget Choice,Belfast,,Fiat
140,Citroen C4,2016,3,62350.0,1.6L,118.0,Automatic,Diesel,8499.0,GC,Hatchback,Charles Hurst Usedirect Budget Choice,Belfast,,Citroen
147,SEAT Leon,2018,2,49999.0,1.4L,123.0,Manual,Petrol,11995.0,GC,Hatchback,Burch Autos,Newtownards,,SEAT
149,Volkswagen Polo,2017,3,36268.0,1.0L,59.0,Manual,Petrol,10495.0,GC,Hatchback,Auto Choice,Newtownards,,Volkswagen
150,Peugeot 207,2010,4,69000.0,1.6L,118.0,Manual,Petrol,2600.0,GC,Hatchback,,,,Peugeot
151,Hyundai i40,2017,2,122000.0,1.7L,113.0,Manual,Diesel,6195.0,GC,Saloon,F J Cars,Belfast,,Hyundai
152,Vauxhall Insignia,2014,1,100112.0,2.0L,128.0,Manual,Diesel,4495.0,GC,Hatchback,weonlysellusedcars.com,"Bangor, County Down",,Vauxhall
153,Dacia Duster,2021,1,33431.0,1.0L,100.0,Manual,Petrol,10799.0,GC,SUV,Charles Hurst Dacia Belfast,Belfast,,Dacia
157,Vauxhall Insignia,2019,1,23267.0,1.6L,197.0,Manual,Petrol,17995.0,GC,Estate,Ballyrobert Vauxhall Bangor,Bangor,,Vauxhall
159,BMW 1 Series,2013,3,67296.0,2.0L,114.0,Manual,Diesel,7535.0,GC,Hatchback,Auto Choice,Newtownards,,BMW
161,Peugeot 3008,2019,1,61244.0,1.5L,129.0,Automatic,Diesel,15299.0,GC,SUV,Charles Hurst Usedirect Dundonald,Belfast,,Peugeot
162,Ford B-Max,2016,1,96000.0,1.0L,99.0,Manual,Petrol,4650.0,GC,MPV,DYNAMIC VEHICLES NI LTD,Ballyclare,,Ford
164,Audi A3,2016,2,86000.0,2.0L,181.0,Manual,Diesel,12995.0,GC,Saloon,M J Motors,Belfast,,Audi
172,BMW 3 Series,2006,9,180000.0,2.0L,161.0,Manual,Diesel,1800.0,GC,Saloon,E Flynn Car Sales,Ballygowan,,BMW
173,Jaguar E-Pace,2019,1,53000.0,2.0L,148.0,Manual,Diesel,19995.0,GC,SUV,Ballyrobert Vauxhall Bangor,Bangor,,Jaguar
175,Mercedes-Benz E Class,2011,2,69000.0,2.1L,168.0,Automatic,Diesel,8250.0,GC,Saloon,LMC Cars,Belfast,,Mercedes-Benz
176,Nissan 350 Z,2004,3,34474.0,3.5L,276.0,Manual,Petrol,11995.0,GC,Coupe,Auto Choice,Newtownards,,Nissan
177,Renault Kadjar,2017,2,43854.0,1.2L,130.0,Manual,Petrol,9995.0,GC,SUV,Car Brothers NI,Newtownabbey,,Renault
178,Vauxhall Corsa,2007,5,126450.0,1.7L,123.0,Manual,Diesel,1575.0,GC,Hatchback,,,,Vauxhall
179,Vauxhall Meriva,2010,3,76000.0,1.4L,99.0,Manual,Petrol,3000.0,GC,MPV,E Flynn Car Sales,Ballygowan,,Vauxhall
183,Hyundai ix35,2011,2,73450.0,1.7L,113.0,Manual,Diesel,5895.0,GC,SUV,DYNAMIC VEHICLES NI LTD,Ballyclare,,Hyundai
184,Vauxhall Corsa,2020,1,32575.0,1.2L,99.0,Manual,Petrol,11795.0,GC,Hatchback,Ballyrobert Vauxhall Bangor,Bangor,,Vauxhall
185,Ford Focus,2019,1,23000.0,1.5L,118.0,Manual,Diesel,12299.0,GC,Hatchback,Charles Hurst Usedirect Newtownards,Newtownards,,Ford
186,Audi TT,2015,2,76000.0,2.0L,181.0,Manual,Diesel,13995.0,GC,Coupe,JMM CAR SALES,"Bangor, County Down",,Audi
187,Nissan Juke,2012,3,47200.0,1.5L,108.0,Manual,Diesel,5495.0,GC,SUV,Mallusk Auto Centre Ltd,Newtownabbey,,Nissan
190,SKODA Scala,2020,1,43676.0,1.0L,113.0,Manual,Petrol,11999.0,GC,Hatchback,Usedirect Belfast 27 Boucher Road,Belfast,,SKODA
191,Fiat 500,2019,1,30506.0,1.2L,68.0,Manual,Petrol,7499.0,GC,Hatchback,Charles Hurst Usedirect Portadown,Belfast,,Fiat
192,Jeep Renegade,2015,3,74364.0,2.0L,138.0,Manual,Diesel,10165.0,GC,SUV,Auto Choice,Newtownards,,Jeep
193,Nissan Qashqai,2011,4,94618.0,1.6L,115.0,Manual,Petrol,3699.0,GC,SUV,RLW Cars,"Bangor, County Down",,Nissan
196,Peugeot 3008,2019,2,58419.0,1.5L,128.0,Manual,Diesel,13995.0,GC,SUV,M H MOTORS LTD,Newtownabbey,,Peugeot
197,Mercedes-Benz C Class,2010,3,87000.0,1.8L,154.0,Automatic,Petrol,5950.0,GC,Saloon,LMC Cars,Belfast,,Mercedes-Benz
199,Volkswagen Golf,2014,2,111000.0,2.0L,148.0,Manual,Diesel,5950.0,GC,Hatchback,Clearly Cars,Belfast,,Volkswagen
200,Hyundai Tucson,2017,2,155000.0,1.7L,114.0,Manual,Diesel,7495.0,GC,SUV,PL Motors LTD,Newtownabbey,,Hyundai
201,MINI Hatch,2016,2,29000.0,1.5L,134.0,Manual,Petrol,11950.0,GC,Hatchback,McCabe Autos,Belfast,,MINI
202,SKODA Roomster,2012,1,74773.0,1.2L,68.0,Manual,Petrol,4825.0,GC,MPV,Auto Choice,Newtownards,,SKODA
203,Citroen C4,2014,2,113000.0,1.6L,112.0,Manual,Diesel,3895.0,GC,Hatchback,Fc Motors,Newtownabbey,,Citroen
204,Ford Grand C-Max,2015,2,65500.0,1.6L,113.0,Manual,Diesel,7990.0,GC,MPV,Burch Autos,Newtownards,,Ford
206,Nissan Qashqai,2011,4,94618.0,1.6L,115.0,Manual,Petrol,3699.0,GC,SUV,RLW Cars,"Bangor, County Down",,Nissan
209,Hyundai i20,2016,2,40385.0,1.2L,83.0,Manual,Petrol,7995.0,GC,Hatchback,NORTH DOWN MOTORS LTD,"Bangor, County Down",,Hyundai
210,Citroen C3,2015,2,49903.0,1.2L,80.0,Manual,Petrol,5795.0,GC,Hatchback,Ralph Patterson Cars Sales,Carrickfergus,,Citroen
211,Hyundai Tucson,2018,1,17100.0,1.6L,130.0,Manual,Petrol,13999.0,GC,SUV,Charles Hurst Usedirect Dundonald,Belfast,,Hyundai
213,MG MG Zs,2018,1,22500.0,1.5L,105.0,Manual,Petrol,10495.0,GC,SUV,Mallusk Auto Centre Ltd,Newtownabbey,,MG
214,Vauxhall Crossland,2021,1,26662.0,1.2L,108.0,Manual,Petrol,14399.0,GC,SUV,Charles Hurst Vauxhall Newtownabbey,Newtownabbey,,Vauxhall
216,Mazda3,2009,3,97000.0,1.6L,104.0,Manual,Petrol,3995.0,GC,Hatchback,PAUL BLANEY MOTORS LTD,Newtownards,,Mazda3
217,BMW X2,2019,1,59362.0,1.5L,139.0,Manual,Petrol,15850.0,GC,SUV,Fusco Vehicle Sales,Bangor,,BMW
218,Honda Cr-V,2019,2,34985.0,1.5L,170.0,Manual,Petrol,15995.0,GC,SUV,NORTH DOWN MOTORS LTD,"Bangor, County Down",,Honda
222,BMW 1 Series,2016,2,60896.0,1.5L,114.0,Manual,Diesel,9595.0,GC,Hatchback,Fusco Vehicle Sales,Bangor,,BMW
223,MINI Hatch,2019,1,74781.0,1.5L,136.0,Automatic,Petrol,11799.0,GC,Hatchback,Charles Hurst Usedirect Newtownards,Newtownards,,MINI
224,Peugeot 3008,2018,2,46550.0,1.6L,118.0,Manual,Diesel,15995.0,GC,SUV,Regency Cars,Newtownards,,Peugeot
225,Fiat 500C,2010,3,76000.0,1.2L,69.0,Manual,Petrol,3895.0,GC,Convertible,Advanced Auto Sales,Belfast,,Fiat
227,Volkswagen CC,2012,4,102000.0,2.0L,138.0,Manual,Diesel,5295.0,GC,Saloon,Fc Motors,Newtownabbey,,Volkswagen
228,Peugeot 208,2020,2,33321.0,1.2L,74.0,Manual,Petrol,12495.0,GC,Hatchback,Regency Cars,Newtownards,,Peugeot
229,Fiat 500,2017,1,31830.0,1.2L,69.0,Automatic,Petrol,10495.0,GC,Hatchback,Ballyrobert Vauxhall Bangor,Bangor,,Fiat
231,KIA Picanto,2009,7,98726.0,1.0L,60.0,Manual,Petrol,2225.0,GC,Hatchback,Auto Choice,Newtownards,,KIA
236,Hyundai ix35,2015,2,43090.0,1.7L,113.0,Manual,Diesel,9950.0,GC,SUV,R Smith Autos Ltd,Belfast,,Hyundai
238,Hyundai i10,2015,2,10254.0,1.2L,86.0,Manual,Petrol,8465.0,GC,Hatchback,Auto Choice,Newtownards,,Hyundai
239,BMW 2 Series,2015,3,43000.0,1.5L,134.0,Manual,Petrol,11995.0,GC,Coupe,DYNAMIC VEHICLES NI LTD,Ballyclare,,BMW
240,Audi A4,2017,3,65902.0,2.0L,148.0,Automatic,Diesel,13299.0,GC,Saloon,Charles Hurst Premium Direct,Belfast,,Audi
241,Ford Fiesta,2011,3,71000.0,1.25L,59.0,Manual,Petrol,4295.0,GC,Hatchback,Fc Motors,Newtownabbey,,Ford
242,SEAT Ibiza,2015,4,69976.0,1.2L,104.0,Manual,Petrol,5500.0,GC,Hatchback,,,,SEAT
243,Vauxhall Grandland X,2018,1,103000.0,1.6L,118.0,Manual,Diesel,9250.0,GC,SUV,M Gallagher Motors,Newtownabbey,,Vauxhall
250,Peugeot 2008,2019,1,46670.0,1.2L,108.0,Automatic,Petrol,11999.0,GC,SUV,Usedirect Belfast 27 Boucher Road,Belfast,,Peugeot
252,Hyundai i20,2021,1,41702.0,1.2L,83.0,Manual,Petrol,12499.0,GC,Hatchback,Charles Hurst Usedirect Newtownabbey,Newtownabbey,,Hyundai
255,MG MG3,2019,2,4710.0,1.5L,105.0,Manual,Petrol,10935.0,GC,Hatchback,Auto Choice,Newtownards,,MG
257,Renault Captur,2017,2,41532.0,1.5L,89.0,Manual,Diesel,9795.0,GC,SUV,Regency Cars,Newtownards,,Renault
262,Peugeot 208,2017,2,62670.0,1.2L,81.0,Manual,Petrol,7250.0,GC,Hatchback,Trust Ford Belfast (Newtownards Road),Belfast,,Peugeot
263,Hyundai Tucson,2017,1,64000.0,1.7L,114.0,Manual,Diesel,10499.0,GC,SUV,Charles Hurst Usedirect Portadown,Belfast,,Hyundai
266,Vauxhall Corsa,2014,1,34300.0,1.2L,84.0,Manual,Petrol,5450.0,GC,Hatchback,Richard Dorrian Cars,Bangor,,Vauxhall
267,Alfa Romeo Giulietta,2017,3,51635.0,1.4L,150.0,Manual,Petrol,11495.0,GC,Hatchback,Auto Choice,Newtownards,,Alfa
268,Hyundai ix35,2014,3,105000.0,1.7L,113.0,Manual,Diesel,5795.0,GC,SUV,Fc Motors,Newtownabbey,,Hyundai
274,Hyundai Ioniq,2017,2,28463.0,1.6L,139.0,Automatic,Petrol Hybrid,13499.0,GC,Hatchback,Charles Hurst Hyundai Dundonald,Belfast,,Hyundai
277,Volvo V60,2014,3,88478.0,1.6L,113.0,Manual,Diesel,8995.0,GC,Estate,Auto Choice,Newtownards,,Volvo
278,Toyota Corolla Verso,2008,2,93000.0,1.8L,127.0,Manual,Petrol,3995.0,GC,MPV,PAUL BLANEY MOTORS LTD,Newtownards,,Toyota
279,Toyota Yaris,2020,1,36254.0,1.5L,114.0,Automatic,Petrol Hybrid,14999.0,GC,Hatchback,Charles Hurst Usedirect Newtownards,Newtownards,,Toyota
280,Vauxhall Astra,2012,2,91998.0,1.6L,113.0,Manual,Petrol,3835.0,GC,Hatchback,Auto Choice,Newtownards,,Vauxhall
281,Citroen C1,2016,2,68977.0,1.2L,81.0,Manual,Petrol,5995.0,GC,Hatchback,Auto Choice,Newtownards,,Citroen
283,Citroen C1,2020,1,18106.0,1.0L,71.0,Manual,Petrol,9199.0,GC,Hatchback,Charles Hurst Citroen Belfast,Belfast,,Citroen
287,Nissan Micra,2019,2,11734.0,0.9L,89.0,Manual,Petrol,10499.0,GC,Hatchback,Charles Hurst Usedirect Newtownards,Newtownards,,Nissan
290,Citroen C3,2014,2,80690.0,1.6L,91.0,Manual,Diesel,4795.0,GC,Hatchback,M H MOTORS LTD,Newtownabbey,,Citroen
291,DS Automobiles DS 3 CROSSBACK,2020,1,37273.0,1.2L,100.0,Manual,Petrol,14999.0,GC,SUV,DS Automobiles Belfast,Belfast,,DS
292,Volkswagen Tiguan,2018,1,72000.0,2.0L,113.0,Manual,Diesel,13950.0,GC,SUV,M Gallagher Motors,Newtownabbey,,Volkswagen
293,Renault Clio,2020,2,23651.0,1.0L,75.0,Manual,Petrol,10499.0,GC,Hatchback,Charles Hurst Renault Newtownabbey,Newtownabbey,,Renault
296,Vauxhall Grandland X,2020,2,11869.0,1.2L,128.0,Manual,Petrol,14599.0,GC,SUV,Charles Hurst Vauxhall Newtownabbey,Newtownabbey,,Vauxhall
301,Ford Focus,2019,1,25963.0,1.0L,123.0,Manual,Petrol,14799.0,GC,Hatchback,Usedirect Belfast 62 Boucher Road,Belfast,,Ford
303,Peugeot 2008,2020,1,18373.0,1.2L,100.0,Manual,Petrol,16899.0,GC,SUV,Charles Hurst Peugeot Belfast,Belfast,,Peugeot
304,Volkswagen Golf,2017,2,46500.0,2.0L,298.0,Manual,Petrol,16995.0,GC,Hatchback,Car Brothers NI,Newtownabbey,,Volkswagen
305,MINI Hatch,2011,2,67320.0,1.6L,122.0,Manual,Petrol,4995.0,GC,Hatchback,Car Brothers NI,Newtownabbey,,MINI
306,KIA Sportage,2017,2,52000.0,1.6L,130.0,Manual,Petrol,12750.0,GC,SUV,McCabe Autos,Belfast,,KIA
307,Dacia Sandero Stepway,2020,1,19863.0,0.9L,90.0,Manual,Petrol,9499.0,GC,Hatchback,Charles Hurst Dacia Newtownabbey,Newtownabbey,,Dacia
308,Dacia Sandero Stepway,2019,1,47864.0,1.5L,90.0,Manual,Diesel,8499.0,GC,Hatchback,Charles Hurst Dacia Newtownards,Newtownards,,Dacia
309,Toyota Aygo,2015,2,57606.0,1.0L,67.0,Manual,Petrol,5950.0,GC,Hatchback,Trust Ford Belfast,Newtownabbey,,Toyota
313,Audi A5,2016,2,108550.0,2.0L,134.0,Manual,Diesel,8795.0,GC,Hatchback,Car Brothers NI,Newtownabbey,,Audi
314,Vauxhall Corsa,2013,1,113000.0,1.2L,84.0,Manual,Petrol,4000.0,GC,Hatchback,E Flynn Car Sales,Ballygowan,,Vauxhall
315,Volkswagen UP!,2014,2,74567.0,1.0L,74.0,Manual,Petrol,6300.0,GC,Hatchback,Auto Choice,Newtownards,,Volkswagen
317,Fiat Doblo,2017,2,75000.0,1.4L,95.0,Manual,Petrol,8495.0,GC,MPV,DB Automotive,Newtownabbey,,Fiat
318,Peugeot 108,2019,1,12031.0,1.0L,71.0,Manual,Petrol,9295.0,GC,Hatchback,Auto Choice,Newtownards,,Peugeot
321,Mercedes-Benz C Class,2017,3,49464.0,2.0L,181.0,Manual,Petrol,13299.0,GC,Saloon,Charles Hurst Usedirect Newtownabbey,Newtownabbey,,Mercedes-Benz
322,Ford KA+,2018,2,67638.0,1.2L,69.0,Manual,Petrol,7795.0,GC,Hatchback,Gary Hutchinson Car Sales Ltd,Belfast,,Ford
326,Mercedes-Benz A Class,2016,2,96800.0,1.5L,107.0,Manual,Diesel,9995.0,GC,Hatchback,weonlysellusedcars.com,"Bangor, County Down",,Mercedes-Benz
327,Ford C-Max,2013,4,42608.0,2.0L,161.0,Manual,Diesel,8735.0,GC,MPV,Auto Choice,Newtownards,,Ford
329,Audi A4,2019,2,78301.0,2.0L,148.0,Manual,Petrol,15299.0,GC,Saloon,Charles Hurst Usedirect Newtownards,Newtownards,,Audi
330,Alfa Romeo Giulietta,2020,1,18800.0,1.4L,120.0,Manual,Petrol,15950.0,GC,Hatchback,B M AutoExchange,Newtownards,,Alfa
332,Nissan Qashqai,2019,2,47000.0,1.3L,138.0,Manual,Petrol,15299.0,GC,SUV,Charles Hurst Nissan Belfast,Belfast,,Nissan
334,Renault Clio,2013,4,97000.0,1.5L,89.0,Manual,Diesel,5295.0,GC,Hatchback,Fc Motors,Newtownabbey,,Renault
339,Renault Captur,2015,1,26000.0,0.9L,89.0,Manual,Petrol,9495.0,GC,SUV,PL Motors LTD,Newtownabbey,,Renault
340,Audi TT,2013,2,63000.0,2.0L,168.0,Manual,Diesel,10799.0,GC,Coupe,Charles Hurst Usedirect Newtownabbey,Newtownabbey,,Audi
341,Renault Megane,2019,1,36000.0,1.3L,140.0,Manual,Petrol,11499.0,GC,Estate,Usedirect Belfast 27 Boucher Road,Belfast,,Renault
342,Ford Fiesta,2017,2,51000.0,1.0L,99.0,Manual,Petrol,8765.0,GC,Hatchback,M Gallagher Motors,Newtownabbey,,Ford
343,Nissan Juke,2011,2,72000.0,1.6L,115.0,Manual,Petrol,5199.0,GC,SUV,Charles Hurst Usedirect Portadown,Belfast,,Nissan
345,Citroen C3,2019,2,32310.0,1.2L,82.0,Manual,Petrol,10750.0,GC,Hatchback,Crawford Clarke Cars,Belfast,,Citroen
347,Dacia Duster,2019,2,35123.0,1.3L,128.0,Manual,Petrol,12995.0,GC,SUV,Regency Cars,Newtownards,,Dacia
352,Vauxhall Grandland X,2019,1,48000.0,1.5L,128.0,Manual,Diesel,11999.0,GC,SUV,Charles Hurst Usedirect Newtownabbey,Newtownabbey,,Vauxhall
354,Vauxhall Mokka X,2019,1,23411.0,1.4L,138.0,Manual,Petrol,12995.0,GC,SUV,Ballyrobert Vauxhall Bangor,Bangor,,Vauxhall
