,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
14295,Honda Civic,2006,3,111451.0,1.3L,82.0,Manual,Petrol,1495.0,GC,Hatchback,Beadlow Motors,Shefford,06,Honda
14296,KIA Ceed,2012,2,106000.0,1.4L,89.0,Manual,Diesel,3490.0,GC,Hatchback,Addison Cars Ltd,Bedford,,KIA
14297,SKODA Octavia,2007,3,158650.0,2.0L,138.0,Manual,Diesel,1499.0,GC,Hatchback,EMQ Kars,Leighton Buzzard,07,SKODA
14299,Peugeot 3008,2012,3,94850.0,1.6L,118.0,Manual,Petrol,2790.0,GC,SUV,EURO MOTORZ LIMITED,Bedford,,Peugeot
14307,BMW 5 Series,2006,7,140009.0,2.5L,172.0,Manual,Petrol,2490.0,GC,Saloon,Empire Cars,Bedford,06,BMW
14309,Vauxhall Astra,2008,4,117411.0,1.9L,148.0,Manual,Diesel,1750.0,GC,Hatchback,EMQ Kars,Leighton Buzzard,08,Vauxhall
14310,Chevrolet Captiva,2010,3,92000.0,2.0L,148.0,Manual,Diesel,2000.0,GC,SUV,Ltn Motors Ltd,Luton,59,Chevrolet
14311,Audi A4,2008,2,68300.0,2.0L,141.0,Automatic,Diesel,5299.0,GC,Saloon,Shahz Cars,Leighton Buzzard,08,Audi
14312,Vauxhall Corsa,2007,3,76600.0,1.4L,89.0,Manual,Petrol,1750.0,GC,Hatchback,2 W CAR LIMITED,Luton,57,Vauxhall
14313,Ford Focus,2008,3,87000.0,1.6L,99.0,Manual,Petrol,2000.0,GC,Hatchback,Ltn Motors Ltd,Luton,58,Ford
14315,Citroen Grand C4 Picasso,2011,3,92000.0,1.6L,108.0,Manual,Diesel,2250.0,GC,MPV,Sandy Cars,Sandy,11,Citroen
14316,Vauxhall Tigra,2007,4,97916.0,1.8L,123.0,Manual,Petrol,1395.0,GC,Convertible,Q Motors,Luton,07,Vauxhall
14321,Renault Clio,2010,6,74210.0,1.2L,74.0,Manual,Petrol,2500.0,GC,Hatchback,LB Trade Vehicles,Leighton Buzzard,60,Renault
14323,Peugeot 206,2006,4,102157.0,1.4L,75.0,Manual,Petrol,1499.0,GC,Hatchback,MK BEST CAR DEALS LTD,Milton Keynes,56,Peugeot
14326,Peugeot 308,2009,4,93000.0,1.6L,120.0,Manual,Petrol,1790.0,GC,Hatchback,Individual Cars,Bedford,09,Peugeot
14328,Ford Focus,2013,2,93615.0,1.0L,123.0,Manual,Petrol,4490.0,GC,Hatchback,Alpha Motor Group,Bedford,13,Ford
14329,Volkswagen Beetle,2004,2,101740.0,1.4L,74.0,Manual,Petrol,1499.0,GC,Hatchback,Rise Motors Limited,Bedford,,Volkswagen
14330,Citroen C4,2005,4,71600.0,1.6L,110.0,Manual,Petrol,1999.0,GC,Coupe,EMQ Kars,Leighton Buzzard,55,Citroen
14335,Peugeot 208,2015,4,52000.0,1.0L,67.0,Manual,Petrol,4495.0,GC,Hatchback,CARS IN MK LTD,Milton Keynes,64,Peugeot
14338,Peugeot 307,2007,1,87000.0,1.6L,110.0,Manual,Petrol,1699.0,GC,Hatchback,Safe Cars,Bedford,57,Peugeot
14341,Ford Fiesta,2008,3,84041.0,1.4L,67.0,Manual,Diesel,1990.0,GC,Hatchback,Car Point Luton Ltd T/A Car Point Bedfordshire,Bedford,58,Ford
14343,Vauxhall Corsa,2014,4,53409.0,1.0L,64.0,Manual,Petrol,4190.0,GC,Hatchback,Alpha Motor Group,Bedford,64,Vauxhall
14344,Land Rover Discovery 4,2010,4,95000.0,3.0L,242.0,Automatic,Diesel,2500.0,GC,SUV,WCS 2020,Bedford,59,Land
14349,Alfa Romeo Giulietta,2011,2,72460.0,1.6L,105.0,Manual,Diesel,2500.0,GC,Hatchback,Ideal Carz,Milton Keynes,60,Alfa
14350,Nissan Note,2009,3,77972.0,1.5L,85.0,Manual,Diesel,2190.0,GC,Hatchback,United Cars Limited,Luton,09,Nissan
14351,Volkswagen Touran,2008,3,196000.0,2.0L,138.0,Manual,Diesel,1970.0,GC,MPV,Fraz Motors ltd,Luton,08,Volkswagen
14352,Mercedes-Benz C Class,2010,5,96000.0,2.1L,201.0,Automatic,Diesel,3800.0,GC,Saloon,,,60,Mercedes-Benz
14358,Ford Focus,2007,5,157550.0,1.6L,113.0,Manual,Petrol,1499.0,GC,Hatchback,EMQ Kars,Leighton Buzzard,57,Ford
14365,SKODA Fabia,2008,2,90300.0,1.2L,70.0,Manual,Petrol,2000.0,GC,Hatchback,Fairways Cars,Milton Keynes,08,SKODA
14369,Peugeot 206 CC,2006,2,44000.0,2.0L,138.0,Manual,Petrol,1999.0,GC,Convertible,Star Car Sales,Bedford,06,Peugeot
14370,Renault Clio,2003,4,74000.0,1.2L,75.0,Manual,Petrol,1499.0,GC,Hatchback,Safe Cars,Bedford,03,Renault
14371,Ford Mondeo,2008,5,150152.0,2.0L,138.0,Manual,Diesel,1499.0,GC,Hatchback,MAB AUTOS,Luton,08,Ford
14372,Chevrolet Cruze,2012,8,70000.0,1.6L,111.0,Manual,Petrol,2499.0,GC,Saloon,Ideal Carz,Milton Keynes,,Chevrolet
14378,Ford Focus,2011,1,145000.0,1.6L,123.0,Manual,Petrol,2390.0,GC,Hatchback,,,61,Ford
14379,Nissan Micra,2012,4,33000.0,1.2L,79.0,Manual,Petrol,3995.0,GC,Hatchback,Motorhouse (Beds) Ltd,Bedford,,Nissan
14380,Fiat Punto Evo,2012,2,82776.0,1.6L,120.0,Manual,Diesel,3249.0,GC,Hatchback,EURO MOTORZ LIMITED,Bedford,,Fiat
14381,Nissan Qashqai,2011,3,78000.0,1.6L,115.0,Manual,Petrol,5000.0,GC,SUV,Fairways Cars,Milton Keynes,11,Nissan
14382,Toyota Avensis,2010,5,99309.0,2.2L,148.0,Automatic,Diesel,3550.0,GC,Saloon,Q Motors,Luton,60,Toyota
14384,Vauxhall Corsa,2013,3,68832.0,1.4L,99.0,Manual,Petrol,3690.0,GC,Hatchback,Alpha Motor Group,Bedford,13,Vauxhall
14386,BMW X1,2014,2,116289.0,2.0L,161.0,Manual,Diesel,5345.0,GC,SUV,Silverstone Car Sales Ltd,Biggleswade,14,BMW
14391,Honda Cr-V,2010,4,127516.0,2.2L,148.0,Manual,Diesel,3495.0,GC,SUV,Beadlow Motors,Shefford,10,Honda
14392,Ford C-Max,2007,5,125150.0,1.8L,113.0,Manual,Diesel,1750.0,GC,MPV,EMQ Kars,Leighton Buzzard,57,Ford
14394,Toyota RAV4,2010,1,115401.0,2.2L,148.0,Manual,Diesel,3999.0,GC,SUV,Eden Motors,Luton,60,Toyota
14397,Hyundai ix35,2014,1,145000.0,1.7L,113.0,Manual,Diesel,3495.0,GC,SUV,Regis Car Sales Ltd,Dunstable,64,Hyundai
14398,Ford Fiesta,2007,3,79000.0,1.4L,79.0,Manual,Petrol,1695.0,GC,Hatchback,Stevenage Cars,Stevenage,57,Ford
14405,Peugeot 107,2010,3,81295.0,1.0L,67.0,Manual,Petrol,1995.0,GC,Hatchback,Beadlow Motors,Shefford,59,Peugeot
14406,Ford Focus,2012,2,109000.0,1.6L,104.0,Manual,Petrol,3480.0,GC,Hatchback,Gemen Motors,Luton,,Ford
14408,Ford Fiesta,2010,2,102900.0,1.25L,81.0,Manual,Petrol,2290.0,GC,Hatchback,Eden Motors,Luton,10,Ford
14411,Chevrolet Aveo,2009,7,88800.0,1.2L,83.0,Manual,Petrol,1200.0,GC,Hatchback,Shan's Top Gear Limited,Shefford,09,Chevrolet
14420,Renault Clio,2012,6,53000.0,1.2L,74.0,Manual,Petrol,2999.0,GC,Hatchback,Auto Atlas Limited,Leighton Buzzard,,Renault
14422,SKODA Fabia,2008,1,102788.0,1.4L,80.0,Manual,Diesel,1795.0,GC,Hatchback,Car Point Luton Ltd T/A Car Point Bedfordshire,Bedford,08,SKODA
14423,Fiat Grande Punto,2009,2,46777.0,1.4L,77.0,Manual,Petrol,2295.0,GC,Hatchback,ISD Motors Ltd,Bedford,59,Fiat
14425,Renault Megane,2013,2,125400.0,1.6L,108.0,Manual,Petrol,2500.0,GC,Hatchback,Newton Autos LTD,Milton Keynes,63,Renault
14426,Toyota Avensis,2012,2,86000.0,2.0L,124.0,Manual,Diesel,4650.0,GC,Saloon,CAR CITY (LUTON) LIMITED,Luton,,Toyota
14427,Audi A4,2007,5,117250.0,2.0L,138.0,Automatic,Diesel,2500.0,GC,Saloon,Newton Autos LTD,Milton Keynes,57,Audi
14433,BMW 3 Series,2006,4,128000.0,2.0L,161.0,Automatic,Diesel,1849.0,GC,Saloon,,,06,BMW
14434,Ford Focus,2007,3,96500.0,1.6L,113.0,Manual,Petrol,1595.0,GC,Hatchback,Supreme Cars,Luton,07,Ford
14435,Renault Megane,2011,4,115340.0,1.5L,108.0,Manual,Diesel,2190.0,GC,Coupe,Heath Cars Ltd,Hitchin,61,Renault
14438,Ford Fiesta,2008,4,68000.0,1.25L,74.0,Manual,Petrol,1995.0,GC,Hatchback,Stevenage Cars,Stevenage,57,Ford
14439,BMW 3 Series,2006,3,116800.0,2.0L,161.0,Manual,Diesel,2000.0,GC,Saloon,Newton Autos LTD,Milton Keynes,56,BMW
14442,Volkswagen Golf,2006,4,105000.0,1.4L,79.0,Manual,Petrol,1750.0,GC,Hatchback,Khan Automotive Ltd,Luton,56,Volkswagen
14449,Volkswagen Polo,2011,2,94000.0,1.2L,59.0,Manual,Petrol,3999.0,GC,Hatchback,Safe Cars,Bedford,61,Volkswagen
14450,Vauxhall Corsa,2010,3,99075.0,1.2L,84.0,Manual,Petrol,2250.0,GC,Hatchback,Royale Motoring Services Ltd,Bedford,10,Vauxhall
14453,Volkswagen Polo,2008,3,103260.0,1.2L,60.0,Manual,Petrol,1999.0,GC,Hatchback,Ideal Carz,Milton Keynes,57,Volkswagen
14455,Toyota Auris,2011,3,133027.0,1.8L,134.0,Automatic,Petrol Hybrid,5000.0,GC,Hatchback,Ltn Motors Ltd,Luton,60,Toyota
14456,Mercedes-Benz E Class,2007,5,199000.0,3.0L,190.0,Automatic,Diesel,1500.0,GC,Estate,The Car Shop Bedford,Bedford,57,Mercedes-Benz
14463,Vauxhall Corsa,2016,2,50366.0,1.4L,89.0,Manual,Petrol,5995.0,GC,Hatchback,SILSOE PRESTIGE MOTORS LTD,Bedford,16,Vauxhall
14464,Hyundai i20,2016,2,99000.0,1.2L,83.0,Manual,Petrol,5950.0,GC,Hatchback,Sandy Cars,Sandy,16,Hyundai
14465,Toyota Auris,2007,3,49610.0,1.6L,124.0,Manual,Petrol,2499.0,GC,Hatchback,In Herts Motors,Baldock,07,Toyota
14466,BMW 3 Series,2012,4,149563.0,2.0L,181.0,Manual,Diesel,3995.0,GC,Coupe,Kovac Motors Ltd,Sandy,,BMW
14467,Suzuki Swift,2015,2,37000.0,1.2L,93.0,Manual,Petrol,5950.0,GC,Hatchback,The Car Shop Bedford,Bedford,15,Suzuki
14469,Toyota RAV4,2007,2,127000.0,2.0L,150.0,Manual,Petrol,3680.0,GC,SUV,Gemen Motors,Luton,57,Toyota
14476,Ford Focus,2009,4,110337.0,1.6L,108.0,Manual,Diesel,1999.0,GC,Estate,Ideal Carz,Milton Keynes,59,Ford
14479,BMW 3 Series,2007,4,100000.0,2.5L,215.0,Automatic,Petrol,4995.0,GC,Saloon,Caxton Motors,Bedford,57,BMW
