,name,year,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
0,KIA Sportage,2018,23600.0,1.6L,174.0,Manual,Petrol,16990,GC,SUV,Belfast Audi,Belfast,,KIA
1,Vauxhall Astra,2007,119000.0,1.9L,118.0,Automatic,Diesel,995,GC,Hatchback,Burch Autos,Newtownards,57,Vauxhall
2,Citroen DS3,2012,75995.0,1.6L,156.0,Manual,Petrol,1493,GC,Hatchback,Auto Sales NI,Newtownabbey,,Citroen
3,Audi A3,2007,98968.0,2.0L,168.0,Manual,Diesel,1999,GC,Hatchback,Clearly Cars,Belfast,57,Audi
4,Suzuki Swift,2007,67200.0,1.5L,101.0,Manual,Petrol,1295,GC,Hatchback,Charles Hurst Usedirect Budget Choice,Belfast,07,Suzuki
5,Vauxhall Astra,2009,78518.0,1.6L,113.0,Manual,Petrol,2490,GC,Hatchback,M J Motors,Belfast,59,Vauxhall
6,Jaguar X-Type,2006,98000.0,2.0L,130.0,Manual,Diesel,500,GC,Saloon,Auto Choice,Newtownards,06,Jaguar
7,Vauxhall Corsa,2011,94000.0,1.2L,84.0,Manual,Petrol,1895,GC,Hatchback,Danny Mcfall Car Sales,Ballyclare,61,Vauxhall
8,Nissan Qashqai,2013,133000.0,1.5L,110.0,Manual,Diesel,1995,Cat D,SUV,Fc Motors,Newtownabbey,63,Nissan
13,Audi Q5,2020,21000.0,2.0L,187.0,Automatic,Diesel,34990,GC,SUV,Belfast Audi,Belfast,,Audi
14,Ford Fiesta,2008,100557.0,1.4L,67.0,Manual,Diesel,2799,GC,Hatchback,RLW Cars,"Bangor, County Down",,Ford
15,MINI Hatch,2011,105000.0,2.0L,141.0,Manual,Diesel,4395,GC,Hatchback,P H Cars,Holywood,,MINI
16,Audi A5,2017,68352.0,2.0L,188.0,Manual,Diesel,15795,GC,Hatchback,Car Brothers NI,Newtownabbey,,Audi
17,Toyota Auris,2009,74060.0,1.33L,100.0,Manual,Petrol,2899,GC,Hatchback,RLW Cars,"Bangor, County Down",,Toyota
18,Mercedes-Benz C Class,2015,153000.0,1.6L,134.0,Manual,Diesel,6995,GC,Saloon,F J Cars,Belfast,,Mercedes-Benz
19,Volkswagen Golf,2016,76000.0,1.6L,108.0,Manual,Diesel,7000,Cat S,Hatchback,E Flynn Car Sales,Ballygowan,,Volkswagen
20,KIA Ceed,2010,86000.0,1.6L,113.0,Manual,Diesel,2995,GC,Hatchback,Fc Motors,Newtownabbey,,KIA
21,Audi A6 Saloon,2016,61300.0,2.0L,187.0,Manual,Diesel,12999,GC,Saloon,Charles Hurst Usedirect Newtownards,Newtownards,,Audi
22,Audi A4,2012,80000.0,2.0L,141.0,Manual,Diesel,8995,GC,Saloon,DB Automotive,Newtownabbey,,Audi
23,Vauxhall Adam,2013,50090.0,1.4L,99.0,Manual,Petrol,6625,GC,Hatchback,Auto Choice,Newtownards,,Vauxhall
24,Suzuki Swift,2010,47000.0,1.5L,101.0,Manual,Petrol,3495,GC,Hatchback,Richard Dorrian Cars,Bangor,,Suzuki
26,Audi Q2,2017,25018.0,1.6L,114.0,Manual,Diesel,16450,GC,SUV,Belfast Audi,Belfast,,Audi
27,Audi A5,2013,104100.0,1.8L,170.0,Manual,Petrol,6995,GC,Coupe,Car Brothers NI,Newtownabbey,,Audi
28,SKODA Yeti,2013,59000.0,2.0L,138.0,Manual,Diesel,8995,GC,SUV,PL Motors LTD,Newtownabbey,,SKODA
30,Ford Mondeo,2010,148000.0,1.8L,123.0,Manual,Diesel,1550,GC,Hatchback,Danny Mcfall Car Sales,Ballyclare,,Ford
31,Volkswagen Polo,2018,55400.0,1.0L,74.0,Manual,Petrol,10795,GC,Hatchback,Ballyrobert Mallusk,Newtownabbey,,Volkswagen
32,Vauxhall Corsa,2014,81507.0,1.2L,84.0,Manual,Petrol,3499,GC,Hatchback,RLW Cars,"Bangor, County Down",,Vauxhall
33,Vauxhall Corsa,2009,21000.0,1.2L,79.0,Manual,Petrol,3695,GC,Hatchback,Fc Motors,Newtownabbey,,Vauxhall
35,Volkswagen Polo,2011,46281.0,1.2L,59.0,Manual,Petrol,6850,GC,Hatchback,HMK Car Sales Ltd,Newtownabbey,,Volkswagen
36,Mazda MX-5,1995,104000.0,1.8L,130.0,Manual,Petrol,3600,GC,Convertible,,,,Mazda
39,Audi TT,2020,2806.0,2.0L,194.0,Automatic,Petrol,27150,GC,Coupe,Belfast Audi,Belfast,,Audi
40,Vauxhall Corsa,2014,87000.0,1.2L,84.0,Manual,Petrol,4850,GC,Hatchback,DYNAMIC VEHICLES NI LTD,Ballyclare,,Vauxhall
41,Subaru Justy,2008,78000.0,1.0L,68.0,Manual,Petrol,2195,GC,Hatchback,F J Cars,Belfast,,Subaru
42,Nissan Qashqai,2016,64500.0,1.2L,113.0,Manual,Petrol,9499,GC,SUV,Charles Hurst Usedirect Newtownards,Newtownards,,Nissan
43,KIA Venga,2011,99385.0,1.4L,88.0,Manual,Petrol,2995,GC,MPV,NORTH DOWN MOTORS LTD,"Bangor, County Down",,KIA
44,Peugeot 508,2012,85262.0,1.6L,154.0,Manual,Petrol,5395,GC,Saloon,Auto Choice,Newtownards,,Peugeot
45,Volvo V50,2011,69000.0,2.0L,148.0,Manual,Diesel,5695,GC,Estate,Fc Motors,Newtownabbey,,Volvo
46,MINI Hatch,2010,55038.0,1.6L,97.0,Manual,Petrol,4850,GC,Hatchback,Auto Choice,Newtownards,,MINI
47,MINI Convertible,2008,86652.0,1.6L,114.0,Manual,Petrol,3995,GC,Convertible,weonlysellusedcars.com,"Bangor, County Down",,MINI
48,Fiat 500,2013,46135.0,1.2L,69.0,Manual,Petrol,6115,GC,Hatchback,Auto Choice,Newtownards,,Fiat
51,Audi A5,2017,41001.0,2.0L,187.0,Automatic,Petrol,18150,GC,Coupe,Belfast Audi,Belfast,,Audi
52,Audi A3,2020,36157.0,1.0L,108.0,Manual,Petrol,17990,GC,Hatchback,Belfast Audi,Belfast,,Audi
53,Audi A3,2013,91403.0,1.4L,120.0,Manual,Petrol,9425,GC,Hatchback,Auto Choice,Newtownards,,Audi
54,Honda Civic,2014,61894.0,1.8L,140.0,Manual,Petrol,7655,GC,Hatchback,Auto Choice,Newtownards,,Honda
55,Volkswagen Passat,2015,166000.0,1.6L,118.0,Manual,Diesel,4750,GC,Saloon,Danny Mcfall Car Sales,Ballyclare,,Volkswagen
56,Vauxhall Corsa,2016,40500.0,1.4L,99.0,Manual,Petrol,7499,GC,Hatchback,Charles Hurst Usedirect Newtownards,Newtownards,,Vauxhall
57,BMW 7 Series,2009,89662.0,3.0L,322.0,Automatic,Petrol,6650,GC,Saloon,Comber Commercial Centre,Newtownards,,BMW
58,Mercedes-Benz E Class,2015,69200.0,2.1L,174.0,Automatic,Diesel,11795,GC,Saloon,Car Brothers NI,Newtownabbey,,Mercedes-Benz
59,Peugeot 3008,2014,60000.0,2.0L,148.0,Manual,Diesel,6499,GC,SUV,Charles Hurst Usedirect Newtownabbey,Newtownabbey,,Peugeot
60,Ford Fiesta,2019,52709.0,1.1L,84.0,Manual,Petrol,8400,GC,Hatchback,Trust Ford Belfast,Newtownabbey,,Ford
61,Renault Clio,2020,60183.0,1.0L,100.0,Manual,Petrol,9999,GC,Hatchback,Charles Hurst Renault Newtownards,Newtownards,,Renault
62,Peugeot 308 CC,2014,39428.0,1.6L,113.0,Manual,Diesel,6250,GC,Convertible,Richard Dorrian Cars,Bangor,,Peugeot
65,Audi A1,2019,16528.0,1.0L,114.0,Automatic,Petrol,17850,GC,Hatchback,Belfast Audi,Belfast,,Audi
66,Renault Captur,2014,57884.0,0.9L,90.0,Manual,Petrol,6890,GC,SUV,Fusco Vehicle Sales,Bangor,,Renault
68,Audi A1,2015,50444.0,1.4L,148.0,Manual,Petrol,10750,GC,Hatchback,Crawford Clarke Cars,Belfast,,Audi
69,Hyundai ix35,2010,102000.0,2.0L,161.0,Manual,Petrol,3995,GC,SUV,Fc Motors,Newtownabbey,,Hyundai
70,KIA Sportage,2017,52737.0,1.6L,130.0,Manual,Petrol,10999,GC,SUV,Usedirect Belfast 27 Boucher Road,Belfast,,KIA
71,BMW 5 Series,2012,177000.0,2.0L,181.0,Manual,Diesel,4495,GC,Saloon,John Glasgow Car Sales LTD,Larne,,BMW
72,Audi A5,2013,82277.0,3.0L,245.0,Automatic,Diesel,10995,GC,Hatchback,Crawford Clarke Cars,Belfast,,Audi
73,KIA Sportage,2015,56867.0,1.6L,135.0,Manual,Petrol,8695,GC,SUV,Ballyrobert Mallusk,Newtownabbey,,KIA
74,Renault Megane,2016,54000.0,1.6L,130.0,Manual,Diesel,10199,GC,Hatchback,Charles Hurst Renault Newtownards,Newtownards,,Renault
75,Citroen C1,2012,60671.0,1.0L,67.0,Manual,Petrol,4135,GC,Hatchback,Auto Choice,Newtownards,,Citroen
78,Audi A5,2019,26779.0,2.0L,148.0,Automatic,Petrol,24990,GC,Hatchback,Belfast Audi,Belfast,,Audi
79,Ford S-Max,2010,58312.0,2.0L,161.0,Manual,Diesel,7995,GC,MPV,Auto Choice,Newtownards,,Ford
80,Audi A4,2006,170000.0,2.0L,138.0,Manual,Diesel,2000,GC,Saloon,E Flynn Car Sales,Ballygowan,,Audi
81,SKODA Octavia,2016,59410.0,1.2L,108.0,Manual,Petrol,8185,GC,Hatchback,Auto Choice,Newtownards,,SKODA
82,SKODA Superb,2012,300000.0,1.6L,104.0,Manual,Diesel,2499,GC,Hatchback,E Flynn Car Sales,Ballygowan,,SKODA
83,Ford Grand C-Max,2015,67209.0,1.0L,123.0,Manual,Petrol,7880,GC,MPV,Auto Choice,Newtownards,,Ford
84,Vauxhall Corsa,2019,91000.0,1.4L,74.0,Manual,Petrol,5950,GC,Hatchback,M Gallagher Motors,Newtownabbey,,Vauxhall
85,Toyota Avensis,2015,81500.0,1.6L,112.0,Manual,Diesel,7495,GC,Saloon,Mallusk Auto Centre Ltd,Newtownabbey,,Toyota
86,Vauxhall Mokka,2015,56482.0,1.7L,128.0,Manual,Diesel,7995,GC,SUV,Auto Choice,Newtownards,,Vauxhall
87,MINI Hatch,2014,74507.0,1.6L,120.0,Manual,Petrol,7450,GC,Hatchback,HMK Car Sales Ltd,Newtownabbey,,MINI
88,Audi A5,2013,68420.0,2.0L,174.0,Manual,Diesel,10695,GC,Coupe,Burch Autos,Newtownards,,Audi
92,Renault Grand Scenic,2011,95000.0,1.5L,108.0,Manual,Diesel,3000,GC,MPV,E Flynn Car Sales,Ballygowan,,Renault
93,Toyota Avensis,2010,117711.0,2.0L,125.0,Manual,Diesel,3995,GC,Saloon,M H MOTORS LTD,Newtownabbey,,Toyota
94,Audi A3,2018,42013.0,1.0L,114.0,Manual,Petrol,12999,GC,Hatchback,Charles Hurst Premium Direct,Belfast,,Audi
95,Vauxhall Crossland X,2019,9300.0,1.2L,82.0,Manual,Petrol,10499,GC,SUV,Charles Hurst Usedirect Newtownards,Newtownards,,Vauxhall
96,Mercedes-Benz C Class,2011,69524.0,2.1L,134.0,Automatic,Diesel,6995,GC,Saloon,Comber Commercial Centre,Newtownards,,Mercedes-Benz
97,Peugeot 308,2016,65000.0,2.0L,148.0,Manual,Diesel,9995,GC,Hatchback,JMM CAR SALES,"Bangor, County Down",,Peugeot
98,Renault Clio,2020,32916.0,1.0L,100.0,Manual,Petrol,11499,GC,Hatchback,Charles Hurst Renault Newtownards,Newtownards,,Renault
99,Audi A5,2017,59000.0,2.0L,148.0,Manual,Diesel,16595,GC,Hatchback,PL Motors LTD,Newtownabbey,,Audi
100,Renault Clio,2017,78230.0,0.9L,89.0,Manual,Petrol,6990,GC,Hatchback,Fusco Vehicle Sales,Bangor,,Renault
101,Volkswagen Golf,2013,100000.0,2.0L,148.0,Manual,Diesel,7795,GC,Hatchback,DB Automotive,Newtownabbey,,Volkswagen
104,Audi Q5,2017,70427.0,2.0L,187.0,Automatic,Diesel,23350,GC,SUV,Belfast Audi,Belfast,,Audi
105,Hyundai i20,2013,32808.0,1.2L,85.0,Manual,Petrol,6555,GC,Hatchback,Auto Choice,Newtownards,,Hyundai
106,Nissan Micra,2021,11815.0,1.0L,99.0,Manual,Petrol,11499,GC,Hatchback,Charles Hurst Nissan Newtownards,Newtownards,,Nissan
107,Suzuki Swift,2009,92114.0,1.3L,91.0,Manual,Petrol,2695,GC,Hatchback,M H MOTORS LTD,Newtownabbey,,Suzuki
108,Volkswagen Tiguan,2011,141000.0,2.0L,138.0,Manual,Diesel,4000,GC,SUV,Danny Mcfall Car Sales,Ballyclare,,Volkswagen
110,BMW 5 Series,2014,110000.0,3.0L,309.0,Automatic,Diesel,15995,GC,Saloon,JMM CAR SALES,"Bangor, County Down",,BMW
111,BMW 3 Series Gran Turismo,2013,65281.0,2.0L,181.0,Automatic,Petrol,11795,GC,Hatchback,Car Brothers NI,Newtownabbey,,BMW
112,Land Rover Range Rover Evoque,2013,110000.0,2.2L,148.0,Manual,Diesel,9495,GC,SUV,PL Motors LTD,Newtownabbey,,Land
113,Hyundai i10,2015,54000.0,1.0L,65.0,Manual,Petrol,5450,GC,Hatchback,Richard Dorrian Cars,Bangor,,Hyundai
114,Ford Focus,2012,109339.0,1.6L,113.0,Manual,Diesel,2850,GC,Hatchback,,,,Ford
118,Nissan Qashqai,2015,70000.0,1.5L,108.0,Manual,Diesel,9495,GC,SUV,JMM CAR SALES,"Bangor, County Down",,Nissan
119,Toyota Urbancruiser,2011,88779.0,1.4L,89.0,Manual,Diesel,4290,GC,SUV,Auto Choice,Newtownards,,Toyota
120,Mitsubishi ASX,2011,130000.0,1.8L,145.0,Manual,Diesel,2950,GC,SUV,,,,Mitsubishi
121,BMW 4 Series,2016,72106.0,2.0L,187.0,Automatic,Diesel,14795,GC,Coupe,Car Brothers NI,Newtownabbey,,BMW
122,Audi A4,2016,72889.0,2.0L,148.0,Manual,Diesel,11495,GC,Saloon,M H MOTORS LTD,Newtownabbey,,Audi
123,Nissan Micra,2005,109000.0,1.2L,79.0,Manual,Petrol,1595,GC,Hatchback,Grand Motors,Belfast,,Nissan
124,Vauxhall Mokka,2016,46732.0,1.6L,113.0,Manual,Petrol,8095,GC,SUV,Ballyrobert Vauxhall Bangor,Bangor,,Vauxhall
125,Mazda3,2016,49965.0,2.0L,119.0,Manual,Petrol,9795,GC,Hatchback,Regency Cars,Newtownards,,Mazda3
126,Peugeot 107,2014,43000.0,1.0L,67.0,Manual,Petrol,3995,GC,Hatchback,Fc Motors,Newtownabbey,,Peugeot
127,Vauxhall Adam,2017,16800.0,1.4L,148.0,Manual,Petrol,10495,GC,Hatchback,Ballyrobert Vauxhall Bangor,Bangor,,Vauxhall
131,Mercedes-Benz Clc Class,2010,82880.0,2.1L,150.0,Automatic,Diesel,4295,GC,Hatchback,weonlysellusedcars.com,"Bangor, County Down",,Mercedes-Benz
132,MG MG Zs,2018,43299.0,1.0L,109.0,Automatic,Petrol,12750,GC,SUV,Ballyrobert Mallusk,Newtownabbey,,MG
133,KIA Optima,2019,40788.0,1.6L,134.0,Automatic,Diesel,14999,GC,Saloon,Charles Hurst Kia Newtownabbey,Newtownabbey,,KIA
134,Ford Focus Cc,2009,85000.0,2.0L,143.0,Manual,Petrol,2200,GC,Convertible,E Flynn Car Sales,Ballygowan,,Ford
135,BMW 2 Series,2016,65626.0,1.5L,134.0,Manual,Petrol,10850,GC,Coupe,Fusco Vehicle Sales,Bangor,,BMW
136,Dacia Duster,2018,37364.0,1.5L,110.0,Manual,Diesel,10299,GC,SUV,Usedirect Belfast 27 Boucher Road,Belfast,,Dacia
137,Fiat Punto,2014,58456.0,1.4L,77.0,Manual,Petrol,5499,GC,Hatchback,Charles Hurst Usedirect Budget Choice,Belfast,,Fiat
138,Hyundai i10,2017,32000.0,1.2L,86.0,Manual,Petrol,7890,GC,Hatchback,Richard Vance Cars,Newtownabbey,,Hyundai
140,Citroen C4,2016,62350.0,1.6L,118.0,Automatic,Diesel,8499,GC,Hatchback,Charles Hurst Usedirect Budget Choice,Belfast,,Citroen
144,Citroen Grand C4 Picasso,2010,18326.0,1.6L,120.0,Manual,Petrol,3995,GC,MPV,M H MOTORS LTD,Newtownabbey,,Citroen
145,Mazda6,2018,52815.0,2.0L,143.0,Manual,Petrol,12495,GC,Saloon,Ballyrobert Mallusk,Newtownabbey,,Mazda6
146,Fiat 500,2014,67007.0,1.2L,69.0,Manual,Petrol,4995,GC,Hatchback,M H MOTORS LTD,Newtownabbey,,Fiat
147,SEAT Leon,2018,49999.0,1.4L,123.0,Manual,Petrol,11995,GC,Hatchback,Burch Autos,Newtownards,,SEAT
149,Volkswagen Polo,2017,36268.0,1.0L,59.0,Manual,Petrol,10495,GC,Hatchback,Auto Choice,Newtownards,,Volkswagen
150,Peugeot 207,2010,69000.0,1.6L,118.0,Manual,Petrol,2600,GC,Hatchback,,,,Peugeot
151,Hyundai i40,2017,122000.0,1.7L,113.0,Manual,Diesel,6195,GC,Saloon,F J Cars,Belfast,,Hyundai
152,Vauxhall Insignia,2014,100112.0,2.0L,128.0,Manual,Diesel,4495,GC,Hatchback,weonlysellusedcars.com,"Bangor, County Down",,Vauxhall
153,Dacia Duster,2021,33431.0,1.0L,100.0,Manual,Petrol,10799,GC,SUV,Charles Hurst Dacia Belfast,Belfast,,Dacia
155,Audi Q2,2020,18021.0,1.0L,114.0,Manual,Petrol,17990,GC,SUV,Belfast Audi,Belfast,,Audi
157,Vauxhall Insignia,2019,23267.0,1.6L,197.0,Manual,Petrol,17995,GC,Estate,Ballyrobert Vauxhall Bangor,Bangor,,Vauxhall
158,Mercedes-Benz A Class,2017,70147.0,1.5L,108.0,Manual,Diesel,12990,GC,Hatchback,Agnew Volkswagen Mallusk,Newtonabbey,,Mercedes-Benz
159,BMW 1 Series,2013,67296.0,2.0L,114.0,Manual,Diesel,7535,GC,Hatchback,Auto Choice,Newtownards,,BMW
161,Peugeot 3008,2019,61244.0,1.5L,129.0,Automatic,Diesel,15299,GC,SUV,Charles Hurst Usedirect Dundonald,Belfast,,Peugeot
162,Ford B-Max,2016,96000.0,1.0L,99.0,Manual,Petrol,4650,GC,MPV,DYNAMIC VEHICLES NI LTD,Ballyclare,,Ford
164,Audi A3,2016,86000.0,2.0L,181.0,Manual,Diesel,12995,GC,Saloon,M J Motors,Belfast,,Audi
166,BMW 5 Series,2012,130000.0,2.0L,181.0,Manual,Diesel,4500,GC,Saloon,Danny Mcfall Car Sales,Ballyclare,,BMW
170,Volvo V50,2011,85559.0,2.0L,148.0,Manual,Diesel,5495,GC,Estate,M H MOTORS LTD,Newtownabbey,,Volvo
171,SEAT Ibiza,2015,76735.0,1.4L,84.0,Manual,Petrol,5495,GC,Hatchback,M H MOTORS LTD,Newtownabbey,,SEAT
172,BMW 3 Series,2006,180000.0,2.0L,161.0,Manual,Diesel,1800,GC,Saloon,E Flynn Car Sales,Ballygowan,,BMW
173,Jaguar E-Pace,2019,53000.0,2.0L,148.0,Manual,Diesel,19995,GC,SUV,Ballyrobert Vauxhall Bangor,Bangor,,Jaguar
174,Mazda MX-5,2018,35950.0,1.5L,129.0,Manual,Petrol,12995,GC,Convertible,Ballyrobert Mallusk,Newtownabbey,,Mazda
175,Mercedes-Benz E Class,2011,69000.0,2.1L,168.0,Automatic,Diesel,8250,GC,Saloon,LMC Cars,Belfast,,Mercedes-Benz
176,Nissan 350 Z,2004,34474.0,3.5L,276.0,Manual,Petrol,11995,GC,Coupe,Auto Choice,Newtownards,,Nissan
177,Renault Kadjar,2017,43854.0,1.2L,130.0,Manual,Petrol,9995,GC,SUV,Car Brothers NI,Newtownabbey,,Renault
178,Vauxhall Corsa,2007,126450.0,1.7L,123.0,Manual,Diesel,1575,GC,Hatchback,,,,Vauxhall
179,Vauxhall Meriva,2010,76000.0,1.4L,99.0,Manual,Petrol,3000,GC,MPV,E Flynn Car Sales,Ballygowan,,Vauxhall
183,Hyundai ix35,2011,73450.0,1.7L,113.0,Manual,Diesel,5895,GC,SUV,DYNAMIC VEHICLES NI LTD,Ballyclare,,Hyundai
184,Vauxhall Corsa,2020,32575.0,1.2L,99.0,Manual,Petrol,11795,GC,Hatchback,Ballyrobert Vauxhall Bangor,Bangor,,Vauxhall
185,Ford Focus,2019,23000.0,1.5L,118.0,Manual,Diesel,12299,GC,Hatchback,Charles Hurst Usedirect Newtownards,Newtownards,,Ford
186,Audi TT,2015,76000.0,2.0L,181.0,Manual,Diesel,13995,GC,Coupe,JMM CAR SALES,"Bangor, County Down",,Audi
187,Nissan Juke,2012,47200.0,1.5L,108.0,Manual,Diesel,5495,GC,SUV,Mallusk Auto Centre Ltd,Newtownabbey,,Nissan
188,Renault Clio,2016,60938.0,1.1L,72.0,Manual,Petrol,6795,GC,Hatchback,M H MOTORS LTD,Newtownabbey,,Renault
189,Mercedes-Benz C Class,2019,70899.0,1.6L,158.0,Manual,Diesel,16990,GC,Saloon,Agnew Volkswagen Mallusk,Newtonabbey,,Mercedes-Benz
190,SKODA Scala,2020,43676.0,1.0L,113.0,Manual,Petrol,11999,GC,Hatchback,Usedirect Belfast 27 Boucher Road,Belfast,,SKODA
191,Fiat 500,2019,30506.0,1.2L,68.0,Manual,Petrol,7499,GC,Hatchback,Charles Hurst Usedirect Portadown,Belfast,,Fiat
192,Jeep Renegade,2015,74364.0,2.0L,138.0,Manual,Diesel,10165,GC,SUV,Auto Choice,Newtownards,,Jeep
193,Nissan Qashqai,2011,94618.0,1.6L,115.0,Manual,Petrol,3699,GC,SUV,RLW Cars,"Bangor, County Down",,Nissan
194,Audi Q2,2020,8900.0,1.0L,114.0,Manual,Petrol,19450,GC,SUV,Belfast Audi,Belfast,,Audi
196,Peugeot 3008,2019,58419.0,1.5L,128.0,Manual,Diesel,13995,GC,SUV,M H MOTORS LTD,Newtownabbey,,Peugeot
197,Mercedes-Benz C Class,2010,87000.0,1.8L,154.0,Automatic,Petrol,5950,GC,Saloon,LMC Cars,Belfast,,Mercedes-Benz
198,Subaru XV,2018,26312.0,2.0L,147.0,Manual,Diesel,14995,GC,SUV,Crawford Clarke Cars,Belfast,,Subaru
199,Volkswagen Golf,2014,111000.0,2.0L,148.0,Manual,Diesel,5950,GC,Hatchback,Clearly Cars,Belfast,,Volkswagen
200,Hyundai Tucson,2017,155000.0,1.7L,114.0,Manual,Diesel,7495,GC,SUV,PL Motors LTD,Newtownabbey,,Hyundai
201,MINI Hatch,2016,29000.0,1.5L,134.0,Manual,Petrol,11950,GC,Hatchback,McCabe Autos,Belfast,,MINI
202,SKODA Roomster,2012,74773.0,1.2L,68.0,Manual,Petrol,4825,GC,MPV,Auto Choice,Newtownards,,SKODA
203,Citroen C4,2014,113000.0,1.6L,112.0,Manual,Diesel,3895,GC,Hatchback,Fc Motors,Newtownabbey,,Citroen
204,Ford Grand C-Max,2015,65500.0,1.6L,113.0,Manual,Diesel,7990,GC,MPV,Burch Autos,Newtownards,,Ford
205,Abarth 595,2016,46800.0,1.4L,138.0,Manual,Petrol,8950,GC,Hatchback,NI Automotive,"Bangor, County Down",,Abarth
206,Nissan Qashqai,2011,94618.0,1.6L,115.0,Manual,Petrol,3699,GC,SUV,RLW Cars,"Bangor, County Down",,Nissan
209,Hyundai i20,2016,40385.0,1.2L,83.0,Manual,Petrol,7995,GC,Hatchback,NORTH DOWN MOTORS LTD,"Bangor, County Down",,Hyundai
210,Citroen C3,2015,49903.0,1.2L,80.0,Manual,Petrol,5795,GC,Hatchback,Ralph Patterson Cars Sales,Carrickfergus,,Citroen
211,Hyundai Tucson,2018,17100.0,1.6L,130.0,Manual,Petrol,13999,GC,SUV,Charles Hurst Usedirect Dundonald,Belfast,,Hyundai
212,SEAT Leon,2020,38803.0,1.5L,148.0,Manual,Petrol,16250,GC,Hatchback,Agnew Volkswagen Belfast,Belfast,,SEAT
213,MG MG Zs,2018,22500.0,1.5L,105.0,Manual,Petrol,10495,GC,SUV,Mallusk Auto Centre Ltd,Newtownabbey,,MG
214,Vauxhall Crossland,2021,26662.0,1.2L,108.0,Manual,Petrol,14399,GC,SUV,Charles Hurst Vauxhall Newtownabbey,Newtownabbey,,Vauxhall
216,Mazda3,2009,97000.0,1.6L,104.0,Manual,Petrol,3995,GC,Hatchback,PAUL BLANEY MOTORS LTD,Newtownards,,Mazda3
217,BMW X2,2019,59362.0,1.5L,139.0,Manual,Petrol,15850,GC,SUV,Fusco Vehicle Sales,Bangor,,BMW
218,Honda Cr-V,2019,34985.0,1.5L,170.0,Manual,Petrol,15995,GC,SUV,NORTH DOWN MOTORS LTD,"Bangor, County Down",,Honda
222,BMW 1 Series,2016,60896.0,1.5L,114.0,Manual,Diesel,9595,GC,Hatchback,Fusco Vehicle Sales,Bangor,,BMW
223,MINI Hatch,2019,74781.0,1.5L,136.0,Automatic,Petrol,11799,GC,Hatchback,Charles Hurst Usedirect Newtownards,Newtownards,,MINI
224,Peugeot 3008,2018,46550.0,1.6L,118.0,Manual,Diesel,15995,GC,SUV,Regency Cars,Newtownards,,Peugeot
225,Fiat 500C,2010,76000.0,1.2L,69.0,Manual,Petrol,3895,GC,Convertible,Advanced Auto Sales,Belfast,,Fiat
226,Ford Kuga,2009,163039.0,2.0L,134.0,Manual,Diesel,3500,GC,SUV,weonlysellusedcars.com,"Bangor, County Down",,Ford
227,Volkswagen CC,2012,102000.0,2.0L,138.0,Manual,Diesel,5295,GC,Saloon,Fc Motors,Newtownabbey,,Volkswagen
228,Peugeot 208,2020,33321.0,1.2L,74.0,Manual,Petrol,12495,GC,Hatchback,Regency Cars,Newtownards,,Peugeot
229,Fiat 500,2017,31830.0,1.2L,69.0,Automatic,Petrol,10495,GC,Hatchback,Ballyrobert Vauxhall Bangor,Bangor,,Fiat
230,Vauxhall Insignia,2022,21217.0,1.5L,120.0,Manual,Diesel,20995,GC,Hatchback,Ballyrobert Mallusk,Newtownabbey,,Vauxhall
231,KIA Picanto,2009,98726.0,1.0L,60.0,Manual,Petrol,2225,GC,Hatchback,Auto Choice,Newtownards,,KIA
235,Jaguar XE,2016,61883.0,2.0L,197.0,Automatic,Petrol,12990,GC,Saloon,Fusco Vehicle Sales,Bangor,,Jaguar
236,Hyundai ix35,2015,43090.0,1.7L,113.0,Manual,Diesel,9950,GC,SUV,R Smith Autos Ltd,Belfast,,Hyundai
237,Renault Clio,2019,27603.0,0.9L,90.0,Manual,Petrol,9990,GC,Hatchback,Agnew Volkswagen Mallusk,Newtonabbey,,Renault
238,Hyundai i10,2015,10254.0,1.2L,86.0,Manual,Petrol,8465,GC,Hatchback,Auto Choice,Newtownards,,Hyundai
239,BMW 2 Series,2015,43000.0,1.5L,134.0,Manual,Petrol,11995,GC,Coupe,DYNAMIC VEHICLES NI LTD,Ballyclare,,BMW
240,Audi A4,2017,65902.0,2.0L,148.0,Automatic,Diesel,13299,GC,Saloon,Charles Hurst Premium Direct,Belfast,,Audi
241,Ford Fiesta,2011,71000.0,1.25L,59.0,Manual,Petrol,4295,GC,Hatchback,Fc Motors,Newtownabbey,,Ford
242,SEAT Ibiza,2015,69976.0,1.2L,104.0,Manual,Petrol,5500,GC,Hatchback,,,,SEAT
243,Vauxhall Grandland X,2018,103000.0,1.6L,118.0,Manual,Diesel,9250,GC,SUV,M Gallagher Motors,Newtownabbey,,Vauxhall
244,Renault Captur,2015,84438.0,1.5L,90.0,Manual,Diesel,5995,GC,SUV,M H MOTORS LTD,Newtownabbey,,Renault
248,Volkswagen Tiguan,2013,70840.0,2.0L,178.0,Manual,Petrol,8445,GC,SUV,DYNAMIC VEHICLES NI LTD,Ballyclare,,Volkswagen
250,Peugeot 2008,2019,46670.0,1.2L,108.0,Automatic,Petrol,11999,GC,SUV,Usedirect Belfast 27 Boucher Road,Belfast,,Peugeot
