,name,year,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
26114,Vauxhall Meriva,2012,120000.0,1.4L,138.0,Manual,Petrol,1850,GC,MPV,Parkside Motor Store,Bolton,,Vauxhall
26117,SKODA Fabia,2006,103995.0,1.9L,100.0,Manual,Diesel,1299,GC,Hatchback,CARS WITH CHARACTOR LIMITED T/A Click Car,Stockport,06,SKODA
26118,Ford Mondeo,2011,147073.0,2.0L,161.0,Manual,Diesel,1990,GC,Hatchback,Dean Smith Car Sales,Manchester,11,Ford
26124,Volkswagen Polo,2008,109000.0,1.2L,60.0,Manual,Petrol,1650,Cat C,Hatchback,D3Kay Autos,Manchester,58,Volkswagen
26125,Volkswagen Golf,2008,163100.0,2.0L,138.0,Manual,Diesel,1995,GC,Hatchback,S A K Motors Ltd,Manchester,08,Volkswagen
26126,Vauxhall Corsa,2010,78000.0,1.4L,98.0,Manual,Petrol,2690,GC,Hatchback,Silverline Motor Company,Wigan,60,Vauxhall
26127,Vauxhall Zafira,2004,126000.0,1.8L,123.0,Manual,Petrol,895,GC,MPV,B L MOTORS OVERSEAL LTD,Swadlincote,04,Vauxhall
26128,Nissan Pathfinder,2007,120000.0,2.5L,169.0,Automatic,Diesel,4450,GC,SUV,AA Cars,Keighley,07,Nissan
26129,Vauxhall Insignia,2012,134500.0,2.0L,128.0,Manual,Diesel,1250,GC,Hatchback,Parkside Motor Store,Bolton,,Vauxhall
26130,Volkswagen Golf,2006,113400.0,2.0L,74.0,Manual,Diesel,1195,GC,Hatchback,FYM Motors,Blackburn,56,Volkswagen
26132,SEAT Leon,2013,124000.0,1.2L,104.0,Manual,Petrol,2500,GC,Hatchback,Clifton Cars,Peterborough,13,SEAT
26137,Renault Grand Scenic,2008,94183.0,1.6L,111.0,Manual,Petrol,995,Cat N,Hatchback,TMV Cars,Burton On Trent,08,Renault
26138,Mazda MX-5,2010,75432.0,1.8L,124.0,Manual,Petrol,4000,GC,Convertible,J.A Motors Ltd,Keighley,10,Mazda
